Fragment;Spec;Colony;tank;treatment;t0;t1;t2;t3;t0-t1;t1-t2;t2-t3;t0-t3
Spi_A_1;Spi;A;1;0;23.04.2021;28.05.2021;25.06.2021;27.07.2021;35; 28 ;32;95
Spi_A_2;Spi;A;2;0.1;23.04.2021;28.05.2021;25.06.2021;27.07.2021;35; 28 ;32;95
Spi_A_3;Spi;A;3;1;23.04.2021;28.05.2021;25.06.2021;27.07.2021;35; 28 ;32;95
Spi_A_4;Spi;A;4;10;23.04.2021;28.05.2021;25.06.2021;27.07.2021;35; 28 ;32;95
Spi_A_5;Spi;A;5;100;23.04.2021;28.05.2021;25.06.2021;27.07.2021;35; 28 ;32;95
Spi_A_6;Spi;A;6;0;23.04.2021;28.05.2021;27.06.2021;24.07.2021;35; 30 ;27;92
Spi_A_7;Spi;A;7;0.1;23.04.2021;28.05.2021;27.06.2021;24.07.2021;35; 30 ;27;92
Spi_A_8;Spi;A;8;1;23.04.2021;28.05.2021;27.06.2021;24.07.2021;35; 30 ;27;92
Spi_A_9;Spi;A;9;10;23.04.2021;28.05.2021;27.06.2021;24.07.2021;35; 30 ;27;92
Spi_A_10;Spi;A;10;100;23.04.2021;29.05.2021;27.06.2021;24.07.2021;36; 29 ;27;92
Spi_A_11;Spi;A;11;0;28.04.2021;01.06.2021;26.06.2021;26.07.2021;34; 25 ;30;89
Spi_A_12;Spi;A;12;0.1;28.04.2021;01.06.2021;26.06.2021;26.07.2021;34; 25 ;30;89
Spi_A_13;Spi;A;13;1;24.04.2021;30.05.2021;26.06.2021;26.07.2021;36; 27 ;30;93
Spi_A_14;Spi;A;14;10;24.04.2021;30.05.2021;26.06.2021;26.07.2021;36; 27 ;30;93
Spi_A_15;Spi;A;15;100;24.04.2021;30.05.2021;26.06.2021;26.07.2021;36; 27 ;30;93
Spi_B_1;Spi;B;1;0;23.04.2021;28.05.2021;25.06.2021;27.07.2021;35; 28 ;32;95
Spi_B_2;Spi;B;2;0.1;23.04.2021;28.05.2021;25.06.2021;27.07.2021;35; 28 ;32;95
Spi_B_3;Spi;B;3;1;23.04.2021;28.05.2021;25.06.2021;27.07.2021;35; 28 ;32;95
Spi_B_4;Spi;B;4;10;23.04.2021;28.05.2021;25.06.2021;27.07.2021;35; 28 ;32;95
Spi_B_5;Spi;B;5;100;23.04.2021;29.05.2021;25.06.2021;27.07.2021;36; 27 ;32;95
Spi_B_6;Spi;B;6;0;23.04.2021;28.05.2021;27.06.2021;24.07.2021;35; 30 ;27;92
Spi_B_7;Spi;B;7;0.1;23.04.2021;28.05.2021;27.06.2021;24.07.2021;35; 30 ;27;92
Spi_B_8;Spi;B;8;1;23.04.2021;28.05.2021;27.06.2021;24.07.2021;35; 30 ;27;92
Spi_B_9;Spi;B;9;10;23.04.2021;28.05.2021;27.06.2021;24.07.2021;35; 30 ;27;92
Spi_B_10;Spi;B;10;100;23.04.2021;29.05.2021;27.06.2021;24.07.2021;36; 29 ;27;92
Spi_B_11;Spi;B;11;0;28.04.2021;01.06.2021;28.06.2021;26.07.2021;34; 27 ;28;89
Spi_B_12;Spi;B;12;0.1;28.04.2021;01.06.2021;28.06.2021;26.07.2021;34; 27 ;28;89
Spi_B_13;Spi;B;13;1;24.04.2021;30.05.2021;28.06.2021;26.07.2021;36; 29 ;28;93
Spi_B_14;Spi;B;14;10;24.04.2021;30.05.2021;28.06.2021;26.07.2021;36; 29 ;28;93
Spi_B_15;Spi;B;15;100;24.04.2021;30.05.2021;28.06.2021;26.07.2021;36; 29 ;28;93
Spi_C_1;Spi;C;1;0;23.04.2021;28.05.2021;25.06.2021;27.07.2021;35; 28 ;32;95
Spi_C_2;Spi;C;2;0.1;23.04.2021;28.05.2021;25.06.2021;27.07.2021;35; 28 ;32;95
Spi_C_3;Spi;C;3;1;23.04.2021;28.05.2021;25.06.2021;27.07.2021;35; 28 ;32;95
Spi_C_4;Spi;C;4;10;23.04.2021;28.05.2021;25.06.2021;27.07.2021;35; 28 ;32;95
Spi_C_5;Spi;C;5;100;23.04.2021;29.05.2021;25.06.2021;27.07.2021;36; 27 ;32;95
Spi_C_6;Spi;C;6;0;23.04.2021;28.05.2021;27.06.2021;24.07.2021;35; 30 ;27;92
Spi_C_7;Spi;C;7;0.1;23.04.2021;28.05.2021;27.06.2021;24.07.2021;35; 30 ;27;92
Spi_C_8;Spi;C;8;1;23.04.2021;28.05.2021;27.06.2021;24.07.2021;35; 30 ;27;92
