conc;tank;volume;measurement;date;days;polymer;count
0;1;50;1;30.04.2021;1;PA;0
0;1;50;2;30.04.2021;1;PA;0
0;1;50;3;30.04.2021;1;PA;0
0;1;50;1;30.04.2021;1;PP;0
0;1;50;2;30.04.2021;1;PP;0
0;1;50;3;30.04.2021;1;PP;0
0;1;50;1;30.04.2021;1;PET;0
0;1;50;2;30.04.2021;1;PET;0
0;1;50;3;30.04.2021;1;PET;0
0;1;50;1;30.04.2021;1;PE;0
0;1;50;2;30.04.2021;1;PE;0
0;1;50;3;30.04.2021;1;PE;0
0;1;50;1;30.04.2021;1;PVC;0
0;1;50;2;30.04.2021;1;PVC;0
0;1;50;3;30.04.2021;1;PVC;0
0;1;50;1;30.04.2021;1;PS;0
0;1;50;2;30.04.2021;1;PS;0
0;1;50;3;30.04.2021;1;PS;0
0;6;50;1;30.04.2021;1;PA;0
0;6;50;2;30.04.2021;1;PA;0
0;6;50;3;30.04.2021;1;PA;0
0;6;50;1;30.04.2021;1;PP;0
0;6;50;2;30.04.2021;1;PP;0
0;6;50;3;30.04.2021;1;PP;0
0;6;50;1;30.04.2021;1;PET;0
0;6;50;2;30.04.2021;1;PET;0
0;6;50;3;30.04.2021;1;PET;0
0;6;50;1;30.04.2021;1;PE;0
0;6;50;2;30.04.2021;1;PE;0
0;6;50;3;30.04.2021;1;PE;0
0;6;50;1;30.04.2021;1;PVC;0
0;6;50;2;30.04.2021;1;PVC;0
0;6;50;3;30.04.2021;1;PVC;0
0;6;50;1;30.04.2021;1;PS;0
0;6;50;2;30.04.2021;1;PS;0
0;6;50;3;30.04.2021;1;PS;0
0;11;50;1;30.04.2021;1;PA;0
0;11;50;2;30.04.2021;1;PA;0
0;11;50;3;30.04.2021;1;PA;0
0;11;50;1;30.04.2021;1;PP;0
0;11;50;2;30.04.2021;1;PP;0
0;11;50;3;30.04.2021;1;PP;0
0;11;50;1;30.04.2021;1;PET;0
0;11;50;2;30.04.2021;1;PET;0
0;11;50;3;30.04.2021;1;PET;0
0;11;50;1;30.04.2021;1;PE;0
0;11;50;2;30.04.2021;1;PE;0
0;11;50;3;30.04.2021;1;PE;0
0;11;50;1;30.04.2021;1;PVC;0
0;11;50;2;30.04.2021;1;PVC;0
0;11;50;3;30.04.2021;1;PVC;0
0;11;50;1;30.04.2021;1;PS;0
0;11;50;2;30.04.2021;1;PS;0
0;11;50;3;30.04.2021;1;PS;0
0.1;2;50;1;30.04.2021;1;PA;0
0.1;2;50;2;30.04.2021;1;PA;0
0.1;2;50;3;30.04.2021;1;PA;0
0.1;2;50;1;30.04.2021;1;PP;1
0.1;2;50;2;30.04.2021;1;PP;1
0.1;2;50;3;30.04.2021;1;PP;3
0.1;2;50;1;30.04.2021;1;PET;4
0.1;2;50;2;30.04.2021;1;PET;1
0.1;2;50;3;30.04.2021;1;PET;2
0.1;2;50;1;30.04.2021;1;PE;1
0.1;2;50;2;30.04.2021;1;PE;0
0.1;2;50;3;30.04.2021;1;PE;0
0.1;2;50;1;30.04.2021;1;PVC;0
0.1;2;50;2;30.04.2021;1;PVC;0
0.1;2;50;3;30.04.2021;1;PVC;0
0.1;2;50;1;30.04.2021;1;PS;1
0.1;2;50;2;30.04.2021;1;PS;0
0.1;2;50;3;30.04.2021;1;PS;0
0.1;7;50;1;30.04.2021;1;PA;0
0.1;7;50;2;30.04.2021;1;PA;0
0.1;7;50;3;30.04.2021;1;PA;0
0.1;7;50;1;30.04.2021;1;PP;0
0.1;7;50;2;30.04.2021;1;PP;0
0.1;7;50;3;30.04.2021;1;PP;0
0.1;7;50;1;30.04.2021;1;PET;2
0.1;7;50;2;30.04.2021;1;PET;0
0.1;7;50;3;30.04.2021;1;PET;0
0.1;7;50;1;30.04.2021;1;PE;0
0.1;7;50;2;30.04.2021;1;PE;0
0.1;7;50;3;30.04.2021;1;PE;0
0.1;7;50;1;30.04.2021;1;PVC;0
0.1;7;50;2;30.04.2021;1;PVC;0
0.1;7;50;3;30.04.2021;1;PVC;0
0.1;7;50;1;30.04.2021;1;PS;0
0.1;7;50;2;30.04.2021;1;PS;0
0.1;7;50;3;30.04.2021;1;PS;0
0.1;12;50;1;30.04.2021;1;PA;0
0.1;12;50;2;30.04.2021;1;PA;0
0.1;12;50;3;30.04.2021;1;PA;0
0.1;12;50;1;30.04.2021;1;PP;0
0.1;12;50;2;30.04.2021;1;PP;1
0.1;12;50;3;30.04.2021;1;PP;0
0.1;12;50;1;30.04.2021;1;PET;1
0.1;12;50;2;30.04.2021;1;PET;3
0.1;12;50;3;30.04.2021;1;PET;2
0.1;12;50;1;30.04.2021;1;PE;0
0.1;12;50;2;30.04.2021;1;PE;1
0.1;12;50;3;30.04.2021;1;PE;0
0.1;12;50;1;30.04.2021;1;PVC;0
0.1;12;50;2;30.04.2021;1;PVC;0
0.1;12;50;3;30.04.2021;1;PVC;0
0.1;12;50;1;30.04.2021;1;PS;0
0.1;12;50;2;30.04.2021;1;PS;0
0.1;12;50;3;30.04.2021;1;PS;0
1;3;50;1;30.04.2021;1;PA;0
1;3;50;2;30.04.2021;1;PA;0
1;3;50;3;30.04.2021;1;PA;0
1;3;50;1;30.04.2021;1;PP;3
1;3;50;2;30.04.2021;1;PP;1
1;3;50;3;30.04.2021;1;PP;0
1;3;50;1;30.04.2021;1;PET;3
1;3;50;2;30.04.2021;1;PET;3
1;3;50;3;30.04.2021;1;PET;3
1;3;50;1;30.04.2021;1;PE;0
1;3;50;2;30.04.2021;1;PE;0
1;3;50;3;30.04.2021;1;PE;0
1;3;50;1;30.04.2021;1;PVC;0
1;3;50;2;30.04.2021;1;PVC;0
