Polymer;Form;Count;Length;Width
PA;Fibers;1;5360,73;363,48
PA;Fibers;2;1955,37;405,86
PA;Fibers;3;5174,77;260,87
PA;Fibers;4;2969,68;265,75
PA;Fibers;5;2805,18;262,67
PA;Fibers;6;2709,28;243,48
PA;Fibers;7;1865,3;285,2
PA;Fibers;8;1955,7;275,46
PA;Fibers;9;2622,24;255,71
PA;Fibers;10;4012,18;421,6
PA;Fibers;11;1690,95;275,46
PA;Fibers;12;2213,03;223,7
PA;Fibers;13;1949,9;199,9
PA;Fibers;14;880,89;225,1
PA;Fibers;15;2150,6;504,65
PA;Fibers;16;4015,18;230,63
PA;Fibers;17;1794,33;241,94
PA;Fibers;18;1840,28;253,09
PA;Fibers;19;3301,07;318,3
PA;Fibers;20;927,99;265,88
PA;Fibers;21;1917,35;293,46
PA;Fibers;22;1633,83;291,34
PA;Fibers;23;2271,31;317,94
PA;Fibers;24;1628,41;324,77
PA;Fibers;25;1455,9;241,94
PA;Fibers;26;750,24;254,64
PA;Fibers;27;1149,74;267,78
PA;Fibers;28;3138,73;253,09
PA;Fibers;29;1363,54;276,67
PA;Fibers;30;1559,6;190,98
PA;Fibers;31;1754,29;347,55
PA;Fibers;32;2014,3;277,69
PA;Fibers;33;2627,93;272,78
PA;Fibers;34;2362,06;247,69
PA;Fibers;35;1318,74;312,23
PA;Fibers;36;2412,98;335,52
PA;Fibers;37;1704,29;341,67
PA;Fibers;38;903,76;147,4
PA;Fibers;39;4872,06;297,27
PA;Fibers;40;1609,64;303,45
PA;Fibers;41;1767,21;310,6
PA;Fibers;42;1321,08;234,38
PA;Fibers;43;2892,02;213,26
PA;Fibers;44;1788,58;286,66
PA;Fibers;45;1208,9;272,78
PA;Fibers;46;2377,25;300,28
PA;Fibers;47;1433,27;256,62
PA;Fibers;48;6748,56;227,54
PA;Fibers;49;7348,58;305,81
PA;Fibers;50;3956,93;319,91
PA;Fibers;51;3973,74;195,78
PA;Fibers;52;2253,47;268,11
PA;Fibers;53;3024,6;308,29
PA;Fibers;54;5959,09;174,51
PA;Fibers;55;2225,91;260,97
PA;Fibers;56;3286,86;241,2
PA;Fibers;57;1059,26;152,86
