nr;# t;Date;Time;No.;ML;Temp.;PAR;F;Fm;Y(II);ETR
2;3828254697;22.04.2021;12:04:57;Spi_A_1;4;0;0;0.207;0.515;0.598;
3;3828254706;22.04.2021;12:05:06;Spi_A_1;4;0;0;0.288;0.687;0.581;
4;3828254716;22.04.2021;12:05:16;Spi_A_1;4;0;0;0.266;0.634;0.58;
6;3828254737;22.04.2021;12:05:37;Spi_B_1;4;0;0;0.283;0.714;0.604;
7;3828254747;22.04.2021;12:05:47;Spi_B_1;4;0;0;0.303;0.721;0.58;
8;3828254754;22.04.2021;12:05:54;Spi_B_1;4;0;0;0.349;0.908;0.616;
10;3828254769;22.04.2021;12:06:09;Spi_C_1;4;0;0;0.273;0.723;0.622;
11;3828254776;22.04.2021;12:06:16;Spi_C_1;4;0;0;0.246;0.662;0.628;
12;3828254785;22.04.2021;12:06:25;Spi_C_1;4;0;0;0.312;0.783;0.602;
14;3828254803;22.04.2021;12:06:43;Spi_D_1;4;0;0;0.293;0.671;0.563;
15;3828254808;22.04.2021;12:06:48;Spi_D_1;4;0;0;0.36;0.928;0.612;
16;3828254817;22.04.2021;12:06:57;Spi_D_1;4;0;0;0.296;0.696;0.575;
18;3828254846;22.04.2021;12:07:26;Spi_E_1;4;0;0;0.26;0.686;0.621;
19;3828254856;22.04.2021;12:07:36;Spi_E_1;4;0;0;0.217;0.559;0.612;
20;3828254863;22.04.2021;12:07:43;Spi_E_1;4;0;0;0.174;0.475;0.634;
22;3828254910;22.04.2021;12:08:30;Spi_F_1;4;0;0;0.254;0.651;0.61;
23;3828254917;22.04.2021;12:08:37;Spi_F_1;4;0;0;0.279;0.71;0.607;
24;3828254928;22.04.2021;12:08:48;Spi_F_1;4;0;0;0.191;0.513;0.628;
26;3828255019;22.04.2021;12:10:19;Pve_A_1;4;0;0;0.321;0.839;0.617;
27;3828255027;22.04.2021;12:10:27;Pve_A_1;4;0;0;0.391;1.05;0.628;
28;3828255034;22.04.2021;12:10:34;Pve_A_1;4;0;0;0.41;0.826;0.504;
30;3828255059;22.04.2021;12:10:59;Pve_B_1;4;0;0;0.145;0.434;0.666;
31;3828255067;22.04.2021;12:11:07;Pve_B_1;4;0;0;0.137;0.398;0.656;
32;3828255074;22.04.2021;12:11:14;Pve_B_1;4;0;0;0.168;0.474;0.646;
34;3828255090;22.04.2021;12:11:30;Pve_C_1;4;0;0;0.22;0.594;0.63;
35;3828255098;22.04.2021;12:11:38;Pve_C_1;4;0;0;0.141;0.39;0.638;
36;3828255105;22.04.2021;12:11:45;Pve_C_1;4;0;0;0.266;0.738;0.64;
38;3828255124;22.04.2021;12:12:04;Pve_D_1;4;0;0;0.255;0.623;0.591;
39;3828255130;22.04.2021;12:12:10;Pve_D_1;4;0;0;0.286;0.692;0.587;
40;3828255135;22.04.2021;12:12:15;Pve_D_1;4;0;0;0.201;0.437;0.54;
42;3828255166;22.04.2021;12:12:46;Pve_E_1;4;0;0;0.321;0.867;0.63;
43;3828255171;22.04.2021;12:12:51;Pve_E_1;4;0;0;0.247;0.66;0.626;
44;3828255179;22.04.2021;12:12:59;Pve_E_1;4;0;0;0.204;0.471;0.567;
46;3828255208;22.04.2021;12:13:28;Pve_F_1;4;0;0;0.187;0.452;0.586;
47;3828255218;22.04.2021;12:13:38;Pve_F_1;4;0;0;0.251;0.57;0.56;
48;3828255227;22.04.2021;12:13:47;Pve_F_1;4;0;0;0.252;0.592;0.574;
50;3828255410;22.04.2021;12:16:50;Spi_A_2;4;0;0;0.382;0.952;0.599;
51;3828255417;22.04.2021;12:16:57;Spi_A_2;4;0;0;0.281;0.679;0.586;
52;3828255423;22.04.2021;12:17:03;Spi_A_2;4;0;0;0.178;0.421;0.577;
54;3828255435;22.04.2021;12:17:15;Spi_B_2;4;0;0;0.333;0.869;0.617;
55;3828255442;22.04.2021;12:17:22;Spi_B_2;4;0;0;0.206;0.522;0.605;
56;3828255455;22.04.2021;12:17:35;Spi_B_2;4;0;0;0.318;0.819;0.612;
58;3828255470;22.04.2021;12:17:50;Spi_C_2;4;0;0;0.291;0.885;0.671;
59;3828255477;22.04.2021;12:17:57;Spi_C_2;4;0;0;0.195;0.55;0.645;
60;3828255484;22.04.2021;12:18:04;Spi_C_2;4;0;0;0.308;0.798;0.614;
62;3828255509;22.04.2021;12:18:29;Spi_D_2;4;0;0;0.269;0.655;0.589;
63;3828255515;22.04.2021;12:18:35;Spi_D_2;4;0;0;0.213;0.488;0.564;
64;3828255520;22.04.2021;12:18:40;Spi_D_2;4;0;0;0.294;0.64;0.541;
66;3828255705;22.04.2021;12:21:45;Spi_D_2;4;0;0;0.31;0.728;0.574;
67;3828255555;22.04.2021;12:19:15;Spi_D_2;4;0;0;0.276;0.722;0.618;
68;3828255716;22.04.2021;12:21:56;Spi_D_2;4;0;0;0.265;0.582;0.545;
70;3828255799;22.04.2021;12:23:19;Spi_E_2;4;0;0;0.306;0.786;0.611;
71;3828255811;22.04.2021;12:23:31;Spi_E_2;4;0;0;0.229;0.562;0.593;
72;3828255818;22.04.2021;12:23:38;Spi_E_2;4;0;0;0.285;0.723;0.606;
74;3828255836;22.04.2021;12:23:56;Spi_F_2;4;0;0;0.267;0.643;0.585;
75;3828255843;22.04.2021;12:24:03;Spi_F_2;4;0;0;0.381;1.005;0.621;
76;3828255850;22.04.2021;12:24:10;Spi_F_2;4;0;0;0.327;0.826;0.604;
78;3828255899;22.04.2021;12:24:59;Pve_A_2;4;0;0;0.244;0.588;0.585;
79;3828255904;22.04.2021;12:25:04;Pve_A_2;4;0;0;0.242;0.621;0.61;
80;3828255911;22.04.2021;12:25:11;Pve_A_2;4;0;0;0.243;0.688;0.647;
82;3828255940;22.04.2021;12:25:40;Pve_B_2;4;0;0;0.3;0.814;0.631;
83;3828255948;22.04.2021;12:25:48;Pve_B_2;4;0;0;0.099;0.267;0.629;
84;3828255961;22.04.2021;12:26:01;Pve_B_2;4;0;0;0.287;0.715;0.599;
86;3828255984;22.04.2021;12:26:24;Pve_C_2;4;0;0;0.252;0.695;0.637;
87;3828255991;22.04.2021;12:26:31;Pve_C_2;4;0;0;0.19;0.531;0.642;
88;3828255998;22.04.2021;12:26:38;Pve_C_2;4;0;0;0.349;0.798;0.563;
90;3828256025;22.04.2021;12:27:05;Pve_D_2;4;0;0;0.145;0.32;0.547;
91;3828256032;22.04.2021;12:27:12;Pve_D_2;4;0;0;0.243;0.608;0.6;
92;3828256038;22.04.2021;12:27:18;Pve_D_2;4;0;0;0.251;0.629;0.601;
94;3828256055;22.04.2021;12:27:35;Pve_E_2;4;0;0;0.242;0.779;0.689;
95;3828256060;22.04.2021;12:27:40;Pve_E_2;4;0;0;0.279;0.899;0.69;
96;3828256067;22.04.2021;12:27:47;Pve_E_2;4;0;0;0.232;0.638;0.636;
98;3828256082;22.04.2021;12:28:02;Pve_F_2;4;0;0;0.262;0.636;0.588;
99;3828256088;22.04.2021;12:28:08;Pve_F_2;4;0;0;0.228;0.542;0.579;
100;3828256100;22.04.2021;12:28:20;Pve_F_2;4;0;0;0.198;0.449;0.559;
102;3828256192;22.04.2021;12:29:52;Spi_A_3;4;0;0;0.336;0.805;0.583;
103;3828256198;22.04.2021;12:29:58;Spi_A_3;4;0;0;0.318;0.756;0.579;
104;3828256205;22.04.2021;12:30:05;Spi_A_3;4;0;0;0.227;0.51;0.555;
106;3828256220;22.04.2021;12:30:20;Spi_B_3;4;0;0;0.368;0.979;0.624;
107;3828256224;22.04.2021;12:30:24;Spi_B_3;4;0;0;0.244;0.614;0.603;
108;3828256233;22.04.2021;12:30:33;Spi_B_3;4;0;0;0.266;0.642;0.586;
110;3828256252;22.04.2021;12:30:52;Spi_C_3;4;0;0;0.16;0.398;0.598;
111;3828256258;22.04.2021;12:30:58;Spi_C_3;4;0;0;0.277;0.745;0.628;
112;3828256267;22.04.2021;12:31:07;Spi_C_3;4;0;0;0.271;0.678;0.6;
114;3828256285;22.04.2021;12:31:25;Spi_D_3;4;0;0;0.293;0.697;0.58;
115;3828256292;22.04.2021;12:31:32;Spi_D_3;4;0;0;0.225;0.543;0.586;
116;3828256312;22.04.2021;12:31:52;Spi_D_3;4;0;0;0.187;0.475;0.606;
118;3828256339;22.04.2021;12:32:19;Spi_E_3;4;0;0;0.233;0.597;0.61;
119;3828256346;22.04.2021;12:32:26;Spi_E_3;4;0;0;0.318;0.782;0.593;
120;3828256354;22.04.2021;12:32:34;Spi_E_3;4;0;0;0.243;0.634;0.617;
