# Filename;t;Date;Time;No.;ML;Temp.;PAR;F;Fo';Fm';~Fo';Y(II);ETR
Pve_A_10_t0.CSV;2;23.04.2021;15:06:51;1;4;0;0;0.393;0;1.08;0.393;0.636;0
Pve_A_10_t0.CSV;12;23.04.2021;15:07:01;2;4;0;31;0.438;0;1.071;0.392;0.591;7.7
Pve_A_10_t0.CSV;22;23.04.2021;15:07:11;3;4;0;101;0.525;0;1.073;0.392;0.511;21.7
Pve_A_10_t0.CSV;32;23.04.2021;15:07:21;4;4;0;198;0.607;0;1.071;0.392;0.433;36
Pve_A_10_t0.CSV;42;23.04.2021;15:07:31;5;4;0;363;0.707;0;1.07;0.392;0.339;51.7
Pve_A_10_t0.CSV;52;23.04.2021;15:07:41;6;4;0;619;0.8;0;1.068;0.391;0.251;65.2
Pve_A_10_t0.CSV;62;23.04.2021;15:07:51;7;4;0;981;0.869;0;1.061;0.39;0.181;74.6
Pve_A_10_t0.CSV;72;23.04.2021;15:08:01;8;4;0;1386;0.907;0;1.05;0.389;0.136;79.3
Pve_A_10_t0.CSV;82;23.04.2021;15:08:11;9;4;0;2015;0.93;0;1.029;0.386;0.096;81.4
Pve_A_10_t0.CSV;92;23.04.2021;15:08:21;10;4;0;2970;0.936;0;1;0.382;0.064;79.8
Pve_A_11_t0.CSV;2;23.04.2021;15:56:20;1;4;0;0;0.281;0;0.822;0.281;0.658;0
Pve_A_11_t0.CSV;12;23.04.2021;15:56:30;2;4;0;31;0.301;0;0.817;0.28;0.632;8.2
Pve_A_11_t0.CSV;22;23.04.2021;15:56:40;3;4;0;101;0.367;0;0.821;0.281;0.553;23.5
Pve_A_11_t0.CSV;32;23.04.2021;15:56:50;4;4;0;198;0.433;0;0.82;0.281;0.472;39.2
Pve_A_11_t0.CSV;42;23.04.2021;15:57:00;5;4;0;363;0.516;0;0.822;0.281;0.372;56.8
Pve_A_11_t0.CSV;52;23.04.2021;15:57:10;6;4;0;619;0.594;0;0.821;0.281;0.276;71.9
Pve_A_11_t0.CSV;62;23.04.2021;15:57:20;7;4;0;981;0.651;0;0.815;0.28;0.201;82.9
Pve_A_11_t0.CSV;72;23.04.2021;15:57:30;8;4;0;1386;0.684;0;0.813;0.28;0.159;92.4
Pve_A_11_t0.CSV;82;23.04.2021;15:57:40;9;4;0;2015;0.715;0;0.799;0.278;0.105;89
Pve_A_11_t0.CSV;92;23.04.2021;15:57:50;10;4;0;2970;0.721;0;0.775;0.275;0.07;86.9
Pve_A_12_t0.CSV;2;23.04.2021;16:29:17;1;4;0;0;0.339;0;1.012;0.339;0.665;0
Pve_A_12_t0.CSV;12;23.04.2021;16:29:27;2;4;0;31;0.359;0;0.998;0.337;0.64;8.3
Pve_A_12_t0.CSV;22;23.04.2021;16:29:37;3;4;0;101;0.433;0;0.985;0.336;0.56;23.8
Pve_A_12_t0.CSV;32;23.04.2021;16:29:47;4;4;0;198;0.516;0;0.976;0.335;0.471;39.2
Pve_A_12_t0.CSV;42;23.04.2021;16:29:57;5;4;0;363;0.625;0;0.984;0.336;0.365;55.6
Pve_A_12_t0.CSV;52;23.04.2021;16:30:07;6;4;0;619;0.725;0;0.987;0.336;0.265;69
Pve_A_12_t0.CSV;62;23.04.2021;16:30:17;7;4;0;981;0.798;0;0.984;0.336;0.189;77.9
Pve_A_12_t0.CSV;72;23.04.2021;16:30:27;8;4;0;1386;0.837;0;0.975;0.335;0.142;82.4
Pve_A_12_t0.CSV;82;23.04.2021;16:30:37;9;4;0;2015;0.864;0;0.961;0.333;0.101;85.4
Pve_A_12_t0.CSV;92;23.04.2021;16:30:47;10;4;0;2970;0.866;0;0.928;0.329;0.067;83.3
Pve_A_13_t0.CSV;2;23.04.2021;17:01:36;1;4;0;0;0.294;0;0.812;0.294;0.638;0
Pve_A_13_t0.CSV;12;23.04.2021;17:01:46;2;4;0;31;0.306;0;0.828;0.296;0.63;8.2
Pve_A_13_t0.CSV;22;23.04.2021;17:01:56;3;4;0;101;0.351;0;0.833;0.297;0.579;24.5
Pve_A_13_t0.CSV;32;23.04.2021;17:02:06;4;4;0;198;0.4;0;0.833;0.297;0.52;43.2
Pve_A_13_t0.CSV;42;23.04.2021;17:02:16;5;4;0;363;0.483;0;0.832;0.297;0.419;64
Pve_A_13_t0.CSV;52;23.04.2021;17:02:26;6;4;0;619;0.569;0;0.826;0.296;0.311;80.9
Pve_A_13_t0.CSV;62;23.04.2021;17:02:36;7;4;0;981;0.635;0;0.824;0.296;0.229;94.5
Pve_A_13_t0.CSV;72;23.04.2021;17:02:46;8;4;0;1386;0.676;0;0.816;0.295;0.172;99.9
Pve_A_13_t0.CSV;82;23.04.2021;17:02:56;9;4;0;2015;0.703;0;0.804;0.293;0.126;106.3
Pve_A_13_t0.CSV;92;23.04.2021;17:03:06;10;4;0;2970;0.723;0;0.789;0.291;0.084;104.3
Pve_A_14_t0.CSV;2;24.04.2021;14:48:42;1;4;0;0;0.334;0;0.936;0.334;0.643;0
Pve_A_14_t0.CSV;12;24.04.2021;14:48:52;2;4;0;31;0.345;0;0.923;0.332;0.626;8.2
Pve_A_14_t0.CSV;22;24.04.2021;14:49:02;3;4;0;101;0.408;0;0.929;0.333;0.561;23.8
Pve_A_14_t0.CSV;32;24.04.2021;14:49:12;4;4;0;198;0.487;0;0.927;0.333;0.475;39.5
Pve_A_14_t0.CSV;42;24.04.2021;14:49:22;5;4;0;363;0.589;0;0.932;0.333;0.368;56.1
Pve_A_14_t0.CSV;52;24.04.2021;14:49:32;6;4;0;619;0.681;0;0.928;0.333;0.266;69.2
Pve_A_14_t0.CSV;62;24.04.2021;14:49:42;7;4;0;981;0.747;0;0.922;0.332;0.19;78.2
Pve_A_14_t0.CSV;72;24.04.2021;14:49:52;8;4;0;1386;0.782;0;0.91;0.331;0.141;81.9
Pve_A_14_t0.CSV;82;24.04.2021;14:50:02;9;4;0;2015;0.804;0;0.888;0.328;0.095;80.1
Pve_A_14_t0.CSV;92;24.04.2021;14:50:12;10;4;0;2970;0.809;0;0.863;0.324;0.063;78.1
