# t;Date;Time;No.;ML;Temp.;PAR;F;Fm;Y(II);ETR
10390;30.05.2021;18:54:47;Spi_A_1;4;0;0;0.261;0;0.757;
10406;30.05.2021;18:55:03;Spi_B_1;4;0;0;0.226;0;0.762;
10422;30.05.2021;18:55:19;Spi_C_1;4;0;0;0.159;0;0.581;
10438;30.05.2021;18:55:35;Spi_D_1;4;0;0;0.312;0;0.901;
10454;30.05.2021;18:55:51;Spi_E_1;4;0;0;0.219;0;0.65;
10465;30.05.2021;18:56:02;Spi_F_1;4;0;0;0.232;0;0.694;
10480;30.05.2021;18:56:17;Pve_A_1;4;0;0;0.309;0;1.113;
10495;30.05.2021;18:56:32;Pve_B_1;4;0;0;0.226;0;0.781;
10517;30.05.2021;18:56:54;Pve_C_1;4;0;0;0.284;0;1.171;
10532;30.05.2021;18:57:09;Pve_D_1;4;0;0;0.204;0;0.611;
10554;30.05.2021;18:57:31;Pve_E_1;4;0;0;0.28;0;0.804;
10567;30.05.2021;18:57:44;Pve_F_1;4;0;0;0.118;0;0.33;
10585;30.05.2021;18:58:02;Spi_A_2;4;0;0;0.299;0;0.88;
10598;30.05.2021;18:58:15;Spi_B_2;4;0;0;0.185;0;0.631;
10616;30.05.2021;18:58:33;Spi_C_2;4;0;0;0.215;0;0.742;
10638;30.05.2021;18:58:55;Spi_D_2;4;0;0;0.143;0;0.403;
10651;30.05.2021;18:59:08;Spi_E_2;4;0;0;0.213;0;0.664;
10665;30.05.2021;18:59:22;Spi_F_2;4;0;0;0.219;0;0.692;
10687;30.05.2021;18:59:44;Pve_A_2;4;0;0;0.273;0;0.933;
10704;30.05.2021;19:00:01;Pve_B_2;4;0;0;0.299;0;1.155;
10740;30.05.2021;19:00:37;Pve_C_2;4;0;0;0.159;0;0.591;
10751;30.05.2021;19:00:48;Pve_D_2;4;0;0;0.186;0;0.567;
10767;30.05.2021;19:01:04;Pve_E_2;4;0;0;0.075;0;0.256;
10782;30.05.2021;19:01:19;Pve_F_2;4;0;0;0.204;0;0.668;
10798;30.05.2021;19:01:35;Spi_A_3;4;0;0;0.256;0;0.723;
10816;30.05.2021;19:01:53;Spi_B_3;4;0;0;0.248;0;0.772;
10829;30.05.2021;19:02:06;Spi_C_3;4;0;0;0.19;0;0.656;
10857;30.05.2021;19:02:34;Spi_D_3;4;0;0;0.184;0;0.568;
10870;30.05.2021;19:02:47;Spi_E_3;4;0;0;0.181;0;0.58;
10883;30.05.2021;19:03:00;Spi_F_3;4;0;0;0.179;0;0.559;
10900;30.05.2021;19:03:17;Pve_A_3;4;0;0;0.231;0;0.908;
10914;30.05.2021;19:03:31;Pve_B_3;4;0;0;0.119;0;0.446;
10932;30.05.2021;19:03:49;Pve_C_3;4;0;0;0.24;0;0.827;
10945;30.05.2021;19:04:02;Pve_D_3;4;0;0;0.17;0;0.503;
10959;30.05.2021;19:04:16;Pve_E_3;4;0;0;0.153;0;0.451;
10973;30.05.2021;19:04:30;Pve_F_3;4;0;0;0.161;0;0.495;
10989;30.05.2021;19:04:46;Spi_A_4;4;0;0;0.179;0;0.542;
11008;30.05.2021;19:05:05;Spi_B_4;4;0;0;0.277;0;0.941;
11027;30.05.2021;19:05:24;Spi_C_4;4;0;0;0.22;0;0.806;
11041;30.05.2021;19:05:38;Spi_D_4;4;0;0;0.251;0;0.622;
11056;30.05.2021;19:05:53;Spi_E_4;4;0;0;0.155;0;0.432;
11072;30.05.2021;19:06:09;Spi_F_4;4;0;0;0.167;0;0.508;
11088;30.05.2021;19:06:25;Pve_A_4;4;0;0;0.288;0;1.007;
11110;30.05.2021;19:06:47;Pve_B_4;4;0;0;0.107;0;0.4;
11122;30.05.2021;19:06:59;Pve_C_4;4;0;0;0.144;0;0.501;
11140;30.05.2021;19:07:17;Pve_D_4;4;0;0;0.138;0;0.381;
11153;30.05.2021;19:07:30;Pve_E_4;4;0;0;0.185;0;0.694;
11167;30.05.2021;19:07:44;Pve_F_4;4;0;0;0.157;0;0.525;
11186;30.05.2021;19:08:03;Spi_A_5;4;0;0;0.137;0;0.386;
11202;30.05.2021;19:08:19;Spi_B_5;4;0;0;0.189;0;0.614;
11219;30.05.2021;19:08:36;Spi_C_5;4;0;0;0.132;0;0.431;
11239;30.05.2021;19:08:56;Spi_D_5;4;0;0;0.237;0;0.724;
11253;30.05.2021;19:09:10;Spi_E_5;4;0;0;0.206;0;0.625;
11267;30.05.2021;19:09:24;Spi_F_5;4;0;0;0.275;0;0.789;
11284;30.05.2021;19:09:41;Pve_A_5;4;0;0;0.268;0;0.996;
11300;30.05.2021;19:09:57;Pve_B_5;4;0;0;0.124;0;0.419;
11313;30.05.2021;19:10:10;Pve_C_5;4;0;0;0.147;0;0.5;
11342;30.05.2021;19:10:39;Pve_D_5;4;0;0;0.169;0;0.454;
11356;30.05.2021;19:10:53;Pve_E_5;4;0;0;0.189;0;0.681;
11373;30.05.2021;19:11:10;Pve_F_5;4;0;0;0.185;0;0.507;
10080;01.06.2021;18:56:03;Spi_A_11;4;0;0;0.184;0;0.563;
10098;01.06.2021;18:56:21;Spi_B_11;4;0;0;0.227;0;0.637;
10168;01.06.2021;18:57:31;Spi_C_11;4;0;0;0.219;0;0.804;
10184;01.06.2021;18:57:47;Spi_D_11;4;0;0;0.061;0;0.141;
10198;01.06.2021;18:58:01;Spi_E_11;4;0;0;0.255;0;0.805;
10220;01.06.2021;18:58:23;Spi_F_11;4;0;0;0.266;0;0.847;
10254;01.06.2021;18:58:57;Pve_A_11;4;0;0;0.219;0;0.814;
10271;01.06.2021;18:59:14;Pve_B_11;4;0;0;0.104;0;0.386;
10293;01.06.2021;18:59:36;Pve_C_11;4;0;0;0.188;0;0.746;
10307;01.06.2021;18:59:50;Pve_D_11;4;0;0;0.206;0;0.632;
10328;01.06.2021;19:00:11;Pve_E_11;4;0;0;0.175;0;0.529;
10352;01.06.2021;19:00:35;Pve_F_11;4;0;0;0.185;0;0.569;
10370;01.06.2021;19:00:53;Spi_A_12;4;0;0;0.244;0;0.758;
10390;01.06.2021;19:01:13;Spi_B_12;4;0;0;0.224;0;0.726;
10409;01.06.2021;19:01:32;Spi_C_12;4;0;0;0.229;0;0.818;
10430;01.06.2021;19:01:53;Spi_D_12;4;0;0;0.188;0;0.543;
10450;01.06.2021;19:02:13;Spi_E_12;4;0;0;0.148;0;0.463;
10467;01.06.2021;19:02:30;Spi_F_12;4;0;0;0.295;0;0.843;
10484;01.06.2021;19:02:47;Pve_A_12;4;0;0;0.199;0;0.786;
10499;01.06.2021;19:03:02;Pve_B_12;4;0;0;0.112;0;0.442;
10516;01.06.2021;19:03:19;Pve_C_12;4;0;0;0.206;0;0.736;
10531;01.06.2021;19:03:34;Pve_D_12;4;0;0;0.156;0;0.471;
10549;01.06.2021;19:03:52;Pve_E_12;4;0;0;0.185;0;0.581;
10569;01.06.2021;19:04:12;Pve_F_12;4;0;0;0.167;0;0.467;
10591;01.06.2021;19:04:34;Spi_A_13;4;0;0;0.214;0;0.628;
10607;01.06.2021;19:04:50;Spi_B_13;4;0;0;0.221;0;0.757;
10622;01.06.2021;19:05:05;Spi_C_13;4;0;0;0.202;0;0.712;
10639;01.06.2021;19:05:22;Spi_D_13;4;0;0;0.245;0;0.671;
10670;01.06.2021;19:05:53;Spi_E_13;4;0;0;0.151;0;0.44;
10686;01.06.2021;19:06:09;Spi_F_13;4;0;0;0.235;0;0.671;
10703;01.06.2021;19:06:26;Pve_A_13;4;0;0;0.247;0;0.837;
10724;01.06.2021;19:06:47;Pve_B_13;4;0;0;0.156;0;0.565;
10737;01.06.2021;19:07:00;Pve_C_13;4;0;0;0.22;0;0.797;
10751;01.06.2021;19:07:14;Pve_D_13;4;0;0;0.243;0;0.696;
10765;01.06.2021;19:07:28;Pve_E_13;4;0;0;0.186;0;0.664;
10783;01.06.2021;19:07:46;Pve_F_13;4;0;0;0.108;0;0.289;
10803;01.06.2021;19:08:06;Spi_A_14;4;0;0;0.27;0;0.812;
10819;01.06.2021;19:08:22;Spi_B_14;4;0;0;0.287;0;1.02;
10834;01.06.2021;19:08:37;Spi_C_14;4;0;0;0.187;0;0.639;
10852;01.06.2021;19:08:55;Spi_D_14;4;0;0;0.188;0;0.463;
10875;01.06.2021;19:09:18;Spi_E_14;4;0;0;0.127;0;0.41;
10902;01.06.2021;19:09:45;Spi_F_14;4;0;0;0.182;0;0.524;
10923;01.06.2021;19:10:06;Pve_A_14;4;0;0;0.279;0;0.938;
10940;01.06.2021;19:10:23;Pve_B_14;4;0;0;0.103;0;0.375;
10955;01.06.2021;19:10:38;Pve_C_14;4;0;0;0.172;0;0.634;
10975;01.06.2021;19:10:58;Pve_D_14;4;0;0;0.285;0;0.854;
10992;01.06.2021;19:11:15;Pve_E_14;4;0;0;0.149;0;0.547;
11007;01.06.2021;19:11:30;Pve_F_14;4;0;0;0.119;0;0.283;
11029;01.06.2021;19:11:52;Spi_A_15;4;0;0;0.354;0;1.041;
11047;01.06.2021;19:12:10;Spi_B_15;4;0;0;0.219;0;0.763;
11064;01.06.2021;19:12:27;Spi_C_15;4;0;0;0.237;0;0.807;
11088;01.06.2021;19:12:51;Spi_D_15;4;0;0;0.251;0;0.633;
11107;01.06.2021;19:13:10;Spi_E_15;4;0;0;0.279;0;0.788;
11126;01.06.2021;19:13:29;Spi_F_15;4;0;0;0.187;0;0.55;
11149;01.06.2021;19:13:52;Pve_A_15;4;0;0;0.329;0;1.127;
11172;01.06.2021;19:14:15;Pve_B_15;4;0;0;0.166;0;0.537;
11187;01.06.2021;19:14:30;Pve_C_15;4;0;0;0.154;0;0.479;
11206;01.06.2021;19:14:49;Pve_D_15;4;0;0;0.229;0;0.601;
11225;01.06.2021;19:15:08;Pve_E_15;4;0;0;0.102;0;0.36;
11251;01.06.2021;19:15:34;Pve_F_15;4;0;0;0.23;0;0.608;
3831648707;31.05.2021;18:51:47;Spi_A_6;4;0;0;0.131;0;0.369;
3831648730;31.05.2021;18:52:10;Spi_B_6;4;0;0;0.208;0;0.691;
3831648743;31.05.2021;18:52:23;Spi_C_6;4;0;0;0.179;0;0.646;
