coral;col;tank;origin;time;PA_t0;PA_t1;PA_t2;PA_t3
Spi_A_1;Spi_A;1;indo;11;a;a;a;ma
Spi_A_1;Spi_A;1;indo;2;a;a;a;a
Spi_A_1;Spi_A;1;indo;5;a;a;a;a
Spi_B_1;Spi_B;1;indo;11;a;a;a;a
Spi_B_1;Spi_B;1;indo;2;ma;a;a;a
Spi_B_1;Spi_B;1;indo;5;a;a;a;ma
Spi_C_1;Spi_C;1;indo;11;ma;ma;ma;ia
Spi_C_1;Spi_C;1;indo;2;ma;a;ma;ia
Spi_C_1;Spi_C;1;indo;5;ma;ma;ma;ia
Spi_D_1;Spi_D;1;redsea;11;ma;a;ma;ma
Spi_D_1;Spi_D;1;redsea;2;ma;ma;ma;ma
Spi_D_1;Spi_D;1;redsea;5;a;ma;ma;ma
Spi_E_1;Spi_E;1;redsea;11;ma;ma;ma;ia
Spi_E_1;Spi_E;1;redsea;2;ma;ma;ma;ma
Spi_E_1;Spi_E;1;redsea;5;ma;ma;ma;ia
Spi_F_1;Spi_F;1;redsea;11;a;ma;ma;ia
Spi_F_1;Spi_F;1;redsea;2;ma;ma;ma;ma
Spi_F_1;Spi_F;1;redsea;5;ma;ma;a;ia
Spi_A_6;Spi_A;6;indo;11;a;a;a;a
Spi_A_6;Spi_A;6;indo;2;a;a;a;ma
Spi_A_6;Spi_A;6;indo;5;a;a;a;ma
Spi_B_6;Spi_B;6;indo;11;a;a;a;a
Spi_B_6;Spi_B;6;indo;2;a;a;a;a
Spi_B_6;Spi_B;6;indo;5;a;a;a;a
Spi_C_6;Spi_C;6;indo;11;ma;ma;a;a
Spi_C_6;Spi_C;6;indo;2;a;ma;a;ma
Spi_C_6;Spi_C;6;indo;5;a;ma;a;ma
Spi_D_6;Spi_D;6;redsea;11;ia;ia;ma;ma
Spi_D_6;Spi_D;6;redsea;2;ia;ma;ia;ma
Spi_D_6;Spi_D;6;redsea;5;ma;ma;ma;ma
Spi_E_6;Spi_E;6;redsea;11;a;ma;a;ma
Spi_E_6;Spi_E;6;redsea;2;ma;ma;ma;a
Spi_E_6;Spi_E;6;redsea;5;a;a;a;ma
Spi_F_6;Spi_F;6;redsea;11;ma;ma;ma;ma
Spi_F_6;Spi_F;6;redsea;2;ia;ma;a;a
Spi_F_6;Spi_F;6;redsea;5;ia;ma;a;ma
Spi_A_11;Spi_A;11;indo;11;a;a;a;a
Spi_A_11;Spi_A;11;indo;2;a;a;a;a
Spi_A_11;Spi_A;11;indo;5;a;a;ma;a
Spi_B_11;Spi_B;11;indo;11;a;ma;a;ma
Spi_B_11;Spi_B;11;indo;2;a;ma;a;a
Spi_B_11;Spi_B;11;indo;5;a;a;ma;ma
Spi_C_11;Spi_C;11;indo;11;a;ma;a;ma
Spi_C_11;Spi_C;11;indo;2;a;ma;a;ma
Spi_C_11;Spi_C;11;indo;5;ma;ma;a;ma
Spi_D_11;Spi_D;11;redsea;11;a;ia;ia;ma
Spi_D_11;Spi_D;11;redsea;2;ma;ia;ma;ia
Spi_D_11;Spi_D;11;redsea;5;a;ma;ma;ma
Spi_E_11;Spi_E;11;redsea;11;a;ma;a;a
Spi_E_11;Spi_E;11;redsea;2;ma;ma;a;ma
Spi_E_11;Spi_E;11;redsea;5;ma;a;a;ma
Spi_F_11;Spi_F;11;redsea;11;ma;ma;ia;a
Spi_F_11;Spi_F;11;redsea;2;ia;ma;ma;ma
Spi_F_11;Spi_F;11;redsea;5;ma;a;a;ma
Spi_A_2;Spi_A;2;indo;11;a;a;a;ma
Spi_A_2;Spi_A;2;indo;2;a;a;a;a
Spi_A_2;Spi_A;2;indo;5;a;a;a;a
Spi_B_2;Spi_B;2;indo;11;a;a;a;ia
Spi_B_2;Spi_B;2;indo;2;a;a;a;ma
Spi_B_2;Spi_B;2;indo;5;a;a;a;ma
Spi_C_2;Spi_C;2;indo;11;ma;ma;a;ia
Spi_C_2;Spi_C;2;indo;2;ma;ma;ma;ma
Spi_C_2;Spi_C;2;indo;5;a;ma;ma;ma
Spi_D_2;Spi_D;2;redsea;11;ia;ma;ma;ma
Spi_D_2;Spi_D;2;redsea;2;ma;ma;ia;ia
Spi_D_2;Spi_D;2;redsea;5;ma;ma;ma;ia
Spi_E_2;Spi_E;2;redsea;11;ia;ma;ma;ia
Spi_E_2;Spi_E;2;redsea;2;ma;ma;ma;ma
Spi_E_2;Spi_E;2;redsea;5;ma;a;ma;a
Spi_F_2;Spi_F;2;redsea;11;ia;ma;ma;ia
Spi_F_2;Spi_F;2;redsea;2;ma;ma;ma;ia
