treatment;ID;col;origin;t0;t1;t2;t3;hook
control;Pve_A_1;Pve_A;indo;3.14;3.214;3.34;3.492;0.932
control;Pve_B_1;Pve_B;indo;2.604;2.835;3.196;3.819;0.94
control;Pve_C_1;Pve_C;indo;3.426;3.701;4.053;4.596;0.876
control;Pve_D_1;Pve_D;redsea;3.74;3.84;4.062;4.644;1.917
control;Pve_E_1;Pve_E;redsea;3.042;3.134;3.156;3.336;1.905
control;Pve_F_1;Pve_F;redsea;2.201;2.345;2.596;3.023;0.894
control;Pve_A_6;Pve_A;indo;3.429;3.56;3.743;4.239;0.888
control;Pve_B_6;Pve_B;indo;2.153;2.213;2.418;2.713;0.975
control;Pve_C_6;Pve_C;indo;2.615;2.885;3.246;3.723;0.957
control;Pve_D_6;Pve_D;redsea;2.4;2.466;2.642;3.157;0.891
control;Pve_E_6;Pve_E;redsea;3.113;3.251;3.469;3.929;1.915
control;Pve_F_6;Pve_F;redsea;1.887;1.905;2.007;2.199;0.928
control;Pve_A_11;Pve_A;indo;3.368;3.564;3.819;4.086;0.984
control;Pve_B_11;Pve_B;indo;2.604;2.861;3.123;3.529;0.976
control;Pve_C_11;Pve_C;indo;4.009;4.251;4.369;4.737;1.785
control;Pve_D_11;Pve_D;redsea;2.493;2.538;2.591;2.632;0.979
control;Pve_E_11;Pve_E;redsea;4.024;4.096;4.09;4.114;1.874
control;Pve_F_11;Pve_F;redsea;1.947;2.027;2.165;2.362;0.918
conc_4_mg;Pve_A_2;Pve_A;indo;2.696;2.757;2.817;3.011;0.955
conc_4_mg;Pve_B_2;Pve_B;indo;2.83;2.921;3.055;3.513;0.932
conc_4_mg;Pve_C_2;Pve_C;indo;3.839;4.347;4.756;5.709;0.948
conc_4_mg;Pve_D_2;Pve_D;redsea;3.479;3.558;3.729;4.226;0.99
conc_4_mg;Pve_E_2;Pve_E;redsea;2.965;3.033;3.051;3.233;1.853
conc_4_mg;Pve_F_2;Pve_F;redsea;2.332;2.395;2.554;2.843;0.952
conc_4_mg;Pve_A_7;Pve_A;indo;3.779;3.821;4.014;4.353;0.96
conc_4_mg;Pve_B_7;Pve_B;indo;3.108;3.146;3.417;3.916;1.171
conc_4_mg;Pve_C_7;Pve_C;indo;3.268;3.457;3.771;4.315;0.918
conc_4_mg;Pve_D_7;Pve_D;redsea;2.507;2.575;2.906;3.502;0.98
conc_4_mg;Pve_E_7;Pve_E;redsea;2.573;2.531;2.597;2.752;1.867
conc_4_mg;Pve_F_7;Pve_F;redsea;1.805;1.851;2.039;2.25;0.94
conc_4_mg;Pve_A_12;Pve_A;indo;3.29;3.69;4.094;4.687;0.926
conc_4_mg;Pve_B_12;Pve_B;indo;2.703;2.908;3.251;3.707;0.972
conc_4_mg;Pve_C_12;Pve_C;indo;4.408;4.744;5.217;5.769;1.128
conc_4_mg;Pve_D_12;Pve_D;redsea;2.148;2.188;2.316;2.547;0.923
conc_4_mg;Pve_E_12;Pve_E;redsea;2.917;2.956;3.131;3.428;0.928
conc_4_mg;Pve_F_12;Pve_F;redsea;1.425;1.494;1.567;1.698;0.919
conc_40_mg;Pve_A_3;Pve_A;indo;3.263;3.34;3.459;3.66;0.941
conc_40_mg;Pve_B_3;Pve_B;indo;2.928;3.078;3.348;3.73;0.93
conc_40_mg;Pve_C_3;Pve_C;indo;4.125;4.791;5.166;5.832;0.867
conc_40_mg;Pve_D_3;Pve_D;redsea;2.403;2.506;2.731;3.138;0.951
conc_40_mg;Pve_E_3;Pve_E;redsea;3.043;3.09;3.082;3.175;1.915
conc_40_mg;Pve_F_3;Pve_F;redsea;1.819;1.877;1.947;2.111;0.935
conc_40_mg;Pve_A_8;Pve_A;indo;2.989;3.056;3.284;3.823;0.945
conc_40_mg;Pve_B_8;Pve_B;indo;2.119;2.213;2.513;3.012;0.921
conc_40_mg;Pve_C_8;Pve_C;indo;2.673;2.82;3.094;3.711;0.882
conc_40_mg;Pve_D_8;Pve_D;redsea;1.975;2.044;2.315;2.832;0.898
conc_40_mg;Pve_E_8;Pve_E;redsea;3.106;3.142;3.291;3.639;1.989
conc_40_mg;Pve_F_8;Pve_F;redsea;1.669;1.699;1.763;1.902;0.877
conc_40_mg;Pve_A_13;Pve_A;indo;3.063;3.239;3.456;3.929;0.929
conc_40_mg;Pve_B_13;Pve_B;indo;2.375;2.51;2.817;3.237;0.95
conc_40_mg;Pve_C_13;Pve_C;indo;2.625;2.875;3.164;3.621;0.966
conc_40_mg;Pve_D_13;Pve_D;redsea;2.455;2.505;2.53;2.665;1.679
conc_40_mg;Pve_E_13;Pve_E;redsea;3.465;3.552;3.729;4.205;1.807
conc_40_mg;Pve_F_13;Pve_F;redsea;1.998;2.057;2.147;2.262;0.94
conc_400_mg;Pve_A_4;Pve_A;indo;3.042;3.239;3.51;3.783;0.885
conc_400_mg;Pve_B_4;Pve_B;indo;2.721;2.871;3.284;3.782;0.859
conc_400_mg;Pve_C_4;Pve_C;indo;2.982;3.286;3.774;4.556;0.922
conc_400_mg;Pve_D_4;Pve_D;redsea;2.196;2.25;2.389;2.738;0.927
conc_400_mg;Pve_E_4;Pve_E;redsea;4.083;4.149;4.21;4.368;2.03
conc_400_mg;Pve_F_4;Pve_F;redsea;1.937;1.99;2.214;2.401;0.941
conc_400_mg;Pve_A_9;Pve_A;indo;3.955;4.181;4.467;4.934;0.901
conc_400_mg;Pve_B_9;Pve_B;indo;2.18;2.328;2.661;3.186;0.944
conc_400_mg;Pve_C_9;Pve_C;indo;2.995;3.423;3.81;4.541;0.922
conc_400_mg;Pve_D_9;Pve_D;redsea;2.196;2.313;2.606;3.037;0.93
conc_400_mg;Pve_E_9;Pve_E;redsea;2.201;2.257;2.345;2.599;0.944
conc_400_mg;Pve_F_9;Pve_F;redsea;1.647;1.714;1.806;1.947;0.942
conc_400_mg;Pve_A_14;Pve_A;indo;3.054;3.272;3.463;3.806;0.944
conc_400_mg;Pve_B_14;Pve_B;indo;2.635;2.777;2.977;3.375;0.945
conc_400_mg;Pve_C_14;Pve_C;indo;5.102;5.55;6.008;6.653;0.957
conc_400_mg;Pve_D_14;Pve_D;redsea;1.855;1.898;2.019;2.19;0.953
conc_400_mg;Pve_E_14;Pve_E;redsea;2.231;2.339;2.465;2.703;1.07
conc_400_mg;Pve_F_14;Pve_F;redsea;2.543;2.575;2.613;2.692;0.946
conc_4000_mg;Pve_A_5;Pve_A;indo;2.737;2.903;3.032;3.206;0.981
conc_4000_mg;Pve_B_5;Pve_B;indo;2.369;2.422;2.538;2.973;0.981
conc_4000_mg;Pve_C_5;Pve_C;indo;3.51;3.797;4.089;4.387;0.947
conc_4000_mg;Pve_D_5;Pve_D;redsea;3.028;3.099;3.207;3.522;0.95
