Filename	Surface	Volume	Vertices	Edges	Faces
t0_Pve_F_10_surface	1005.532349	915.516235	30287	90764	
t0_Pve_F_14_surface	1464.825073	1446.219727	44045	132024	
t0_Pve_F_2_surface	1209.365356	1243.375610	35896	107527	
t0_Pve_F_3_surface	793.964844	698.145569	24404	73061	
t0_Pve_F_4_surface	888.770630	925.976013	25191	75497	
t0_Spi_B_8_surface	539.470520	678.627441	17437	52186	
t0_Spi_C_7_surface	1157.460571	2323.464600	34690	103953	
t0_Spi_C_8_surface	937.987793	1641.906494	29902	89641	
t0_Spi_D_1_surface	992.954224	1398.257202	30564	91553	
t0_Spi_D_7_surface	519.436890	692.464844	16601	49683	
t0_Spi_E_11_surface	864.659302	1224.383057	25282	75631	
t0_Spi_E_14_surface	1067.314209	1693.526489	32691	97939	
t0_Spi_F_1_surface	1014.140991	1430.752808	31149	93364	
t1_Pve_F_13_surface	785.134460	807.240540	25075	74836	
t1_Pve_F_14_surface	849.071289	864.970581	25681	76480	
t1_Pve_F_15_surface	662.310852	674.269531	20458	60809	
t1_Pve_F_3_surface	792.366577	675.904541	23807	71258	
t1_Spi_B_11_surface	671.491455	1086.322754	22192	65978	
t1_Spi_B_14_surface	710.643005	1040.062988	23178	69396	
t1_Spi_B_3_surface	517.284668	693.778687	17050	51065	
t1_Spi_B_7_surface	777.846191	1073.888184	24880	74504	
t1_Spi_C_8_surface	1013.880310	1770.267700	32959	98776	
t1_Spi_D_10_surface	555.055908	799.090515	18163	53930	
t1_Spi_D_13_surface	1240.713135	2111.929932	37548	111985	
t1_Spi_D_14_surface	1483.520020	2798.075928	46204	137636	
t1_Spi_D_15_surface	2039.969849	3798.303711	63468	189035	125565
t1_Spi_D_4_surface	465.093506	661.227112	14751	43970	
t1_Spi_D_5_surface	780.232910	1093.806641	25496	75820	
t1_Spi_E_13_surface	1806.783203	2834.775146	57010	170756	113746
t1_Spi_E_15_surface	1142.488525	1623.303101	36401	109047	
t1_Spi_F_13_surface	1187.758057	1543.178711	38253	114382	
t2_Pve_F_10_surface	952.122925	1009.175354	27497	82366	
t2_Pve_F_11_surface	977.928833	1167.845459	30404	90665	
t2_Pve_F_13_surface	884.338867	1023.796448	23296	69698	
t2_Pve_F_14_surface	947.374390	813.836487	29997	89390	
t2_Pve_F_2_surface	1610.659424	1727.657837	43077	128977	
t2_Pve_F_3_surface	888.051086	770.118164	26971	80683	
t2_Pve_F_4_surface	1150.802124	1167.875366	33417	100158	
t2_Spi_B_11_surface	529.442322	615.816467	17113	50765	
t2_Spi_B_14_surface	753.986938	1211.913330	24007	71939	
t2_Spi_B_3_surface	555.443970	753.310547	17738	53158	
t2_Spi_B_5_surface	633.907288	834.634827	20439	61150	
t2_Spi_B_7_surface	991.052795	1383.756470	32065	96128	
t2_Spi_B_8_surface	538.704895	741.399048	17265	51614	
t2_Spi_B_9_surface	768.809753	1065.452759	24485	73334	
t2_Spi_D_13_surface	1313.568237	2084.226563	39092	116888	
t2_Spi_D_14_surface	1682.074707	3039.205566	51165	153022	101857
t2_Spi_D_2_surface	741.905457	1182.624390	24348	72251	
t2_Spi_D_3_surface	748.139343	1377.251221	24457	72445	
t2_Spi_D_4_surface	497.741333	728.325500	14470	43199	
t2_Spi_D_6_surface	636.698608	832.698730	20627	61579	
t2_Spi_D_9_surface	1230.079224	1755.351929	37997	113902	
t2_Spi_E_10_surface	1084.710938	1664.609375	34038	101969	
t2_Spi_E_8_surface	1222.056519	1802.753296	37867	113507	
t2_Spi_F_13_surface	1236.103027	1748.417236	38880	116374	
t2_Spi_F_5_surface	919.669495	1394.756226	29121	87166	
t3_Pve_D_5_surface	1700.609253	2450.759277	48996	146844	
t3_Pve_E_11_surface	924.476013	1558.480469	30304	90334	
t3_Pve_F_10_surface	1057.220581	1026.868042	31728	94935	
t3_Pve_F_11_surface	1045.384033	1303.228516	31263	93144	
t3_Pve_F_12_surface	759.854919	605.902039	22920	68676	
t3_Pve_F_13_surface	960.001160	1105.056152	26776	80110	
t3_Pve_F_14_surface	1013.512634	938.872864	31252	93217	
t3_Pve_F_15_surface	549.184143	476.400604	17788	52687	
t3_Pve_F_2_surface	1907.190430	1836.746338	49170	147323	
t3_Pve_F_3_surface	1071.188965	1019.518188	30830	92318	
t3_Pve_F_7_surface	1375.208618	1206.956421	40071	120158	
t3_Pve_F_8_surface	817.052551	847.569580	24062	72089	
t3_Spi_B_15_surface	584.379517	813.644653	18510	55478	
t3_Spi_B_7_surface	1174.930176	1606.799561	37848	113472	
t3_Spi_B_8_surface	644.218750	958.272339	19038	56951	
t3_Spi_B_9_surface	994.539368	1354.319946	32136	96333	
t3_Spi_D_13_surface	1128.764282	1965.827881	32753	97719	
t3_Spi_D_14_surface	1768.559082	2899.370361	55610	166560	110950
t3_Spi_D_15_surface	1548.984741	3465.854736	48462	144487	
t3_Spi_D_2_surface	808.371643	1185.486572	25652	76541	
t3_Spi_D_3_surface	477.187134	540.084839	15888	46893	
t3_Spi_D_4_surface	556.259521	771.734375	17077	51079	
t3_Spi_D_7_surface	195.761856	251.762985	6519	19231	
t3_Spi_D_9_surface	1332.176636	1914.423462	37877	113551	
t3_Spi_E_10_surface	1151.313843	1764.280396	34907	104563	
t3_Spi_E_12_surface	1647.760376	2519.556885	51251	153664	102414
t3_Spi_E_8_surface	1454.438354	2151.432861	44596	133720	
t3_Spi_E_9_surface	1445.514282	2309.309570	43982	131891	
t3_Spi_F_15_surface	1002.384644	1291.878174	30451	91055	
