ID;spec;col;origin;tank;treat;conc;necro_t0;necro_t1;necro_t2;necro_t3
Pve_A_1;Pve;A;indo;1;control;0;no;no;no;no
Pve_A_10;Pve;A;indo;10;100;100;no;no;no;no
Pve_A_11;Pve;A;indo;11;control;0;no;no;no;no
Pve_A_12;Pve;A;indo;12;0.1;0.1;no;no;no;no
Pve_A_13;Pve;A;indo;13;1;1;no;no;no;no
Pve_A_14;Pve;A;indo;14;10;10;no;no;no;no
Pve_A_15;Pve;A;indo;15;100;100;no;no;no;no
Pve_A_2;Pve;A;indo;2;0.1;0.1;no;no;no;no
Pve_A_3;Pve;A;indo;3;1;1;no;no;no;no
Pve_A_4;Pve;A;indo;4;10;10;no;no;no;no
Pve_A_5;Pve;A;indo;5;100;100;no;no;no;no
Pve_A_6;Pve;A;indo;6;control;0;no;no;no;no
Pve_A_7;Pve;A;indo;7;0.1;0.1;no;no;no;no
Pve_A_8;Pve;A;indo;8;1;1;no;no;no;no
Pve_A_9;Pve;A;indo;9;10;10;no;no;no;no
Pve_B_1;Pve;B;indo;1;control;0;no;no;no;no
Pve_B_10;Pve;B;indo;10;100;100;no;no;no;no
Pve_B_11;Pve;B;indo;11;control;0;no;no;no;no
Pve_B_12;Pve;B;indo;12;0.1;0.1;no;no;no;no
Pve_B_13;Pve;B;indo;13;1;1;no;no;no;no
Pve_B_14;Pve;B;indo;14;10;10;no;no;no;no
Pve_B_15;Pve;B;indo;15;100;100;no;no;no;no
Pve_B_2;Pve;B;indo;2;0.1;0.1;no;no;no;no
Pve_B_3;Pve;B;indo;3;1;1;no;no;no;no
Pve_B_4;Pve;B;indo;4;10;10;no;no;no;no
Pve_B_5;Pve;B;indo;5;100;100;no;no;no;no
Pve_B_6;Pve;B;indo;6;control;0;no;no;no;no
Pve_B_7;Pve;B;indo;7;0.1;0.1;no;no;no;no
Pve_B_8;Pve;B;indo;8;1;1;no;no;no;no
Pve_B_9;Pve;B;indo;9;10;10;no;no;no;no
Pve_C_1;Pve;C;indo;1;control;0;no;no;no;no
Pve_C_10;Pve;C;indo;10;100;100;no;no;no;no
Pve_C_11;Pve;C;indo;11;control;0;no;no;no;no
Pve_C_12;Pve;C;indo;12;0.1;0.1;no;no;no;no
Pve_C_13;Pve;C;indo;13;1;1;no;no;no;no
Pve_C_14;Pve;C;indo;14;10;10;no;no;no;no
Pve_C_15;Pve;C;indo;15;100;100;no;no;no;no
Pve_C_2;Pve;C;indo;2;0.1;0.1;no;no;no;no
Pve_C_3;Pve;C;indo;3;1;1;no;no;no;no
Pve_C_4;Pve;C;indo;4;10;10;no;no;no;no
Pve_C_5;Pve;C;indo;5;100;100;no;no;no;no
Pve_C_6;Pve;C;indo;6;control;0;no;no;no;no
Pve_C_7;Pve;C;indo;7;0.1;0.1;no;no;no;no
Pve_C_8;Pve;C;indo;8;1;1;no;no;no;no
Pve_C_9;Pve;C;indo;9;10;10;no;no;no;no
Pve_D_1;Pve;D;redsea;1;control;0;no;no;no;no
Pve_D_10;Pve;D;redsea;10;100;100;no;no;no;no
Pve_D_11;Pve;D;redsea;11;control;0;no;no;no;no
Pve_D_12;Pve;D;redsea;12;0.1;0.1;no;no;no;no
Pve_D_13;Pve;D;redsea;13;1;1;no;no;no;no
Pve_D_14;Pve;D;redsea;14;10;10;no;no;no;no
Pve_D_15;Pve;D;redsea;15;100;100;no;no;no;no
Pve_D_2;Pve;D;redsea;2;0.1;0.1;no;no;no;no
Pve_D_3;Pve;D;redsea;3;1;1;no;no;no;no
Pve_D_4;Pve;D;redsea;4;10;10;no;no;no;no
Pve_D_5;Pve;D;redsea;5;100;100;no;no;no;yes
Pve_D_6;Pve;D;redsea;6;control;0;no;no;no;no
Pve_D_7;Pve;D;redsea;7;0.1;0.1;no;no;no;no
Pve_D_8;Pve;D;redsea;8;1;1;no;no;no;no
Pve_D_9;Pve;D;redsea;9;10;10;no;no;no;no
Pve_E_1;Pve;E;redsea;1;control;0;no;no;no;no
Pve_E_10;Pve;E;redsea;10;100;100;no;no;no;no
Pve_E_11;Pve;E;redsea;11;control;0;no;no;no;yes
Pve_E_12;Pve;E;redsea;12;0.1;0.1;no;no;no;no
Pve_E_13;Pve;E;redsea;13;1;1;no;no;no;no
Pve_E_14;Pve;E;redsea;14;10;10;no;no;no;no
Pve_E_15;Pve;E;redsea;15;100;100;no;no;no;no
Pve_E_2;Pve;E;redsea;2;0.1;0.1;no;no;no;no
Pve_E_3;Pve;E;redsea;3;1;1;no;no;no;no
Pve_E_4;Pve;E;redsea;4;10;10;no;no;no;no
Pve_E_5;Pve;E;redsea;5;100;100;no;no;no;no
Pve_E_6;Pve;E;redsea;6;control;0;no;no;no;no
Pve_E_7;Pve;E;redsea;7;0.1;0.1;no;no;no;no
Pve_E_8;Pve;E;redsea;8;1;1;no;no;no;no
Pve_E_9;Pve;E;redsea;9;10;10;no;no;no;no
Pve_F_1;Pve;F;redsea;1;control;0;no;no;no;no
Pve_F_10;Pve;F;redsea;10;100;100;no;no;yes;yes
Pve_F_11;Pve;F;redsea;11;control;0;no;no;yes;yes
Pve_F_12;Pve;F;redsea;12;0.1;0.1;no;no;no;no
Pve_F_13;Pve;F;redsea;13;1;1;no;yes;yes;yes
Pve_F_14;Pve;F;redsea;14;10;10;no;yes;yes;yes
Pve_F_15;Pve;F;redsea;15;100;100;no;yes;no;yes
Pve_F_2;Pve;F;redsea;2;0.1;0.1;no;no;yes;yes
Pve_F_3;Pve;F;redsea;3;1;1;no;yes;yes;yes
Pve_F_4;Pve;F;redsea;4;10;10;no;no;yes;no
Pve_F_5;Pve;F;redsea;5;100;100;no;no;no;no
Pve_F_6;Pve;F;redsea;6;control;0;no;no;no;no
Pve_F_7;Pve;F;redsea;7;0.1;0.1;no;no;no;no
Pve_F_8;Pve;F;redsea;8;1;1;no;no;no;yes
Pve_F_9;Pve;F;redsea;9;10;10;no;no;no;no
Spi_A_1;Spi;A;indo;1;control;0;no;no;no;no
Spi_A_10;Spi;A;indo;10;100;100;no;no;no;no
Spi_A_11;Spi;A;indo;11;control;0;no;no;no;no
Spi_A_12;Spi;A;indo;12;0.1;0.1;no;no;no;no
Spi_A_13;Spi;A;indo;13;1;1;no;no;no;no
Spi_A_14;Spi;A;indo;14;10;10;no;no;no;no
Spi_A_15;Spi;A;indo;15;100;100;no;no;no;no
Spi_A_2;Spi;A;indo;2;0.1;0.1;no;no;no;no
Spi_A_3;Spi;A;indo;3;1;1;no;no;no;no
Spi_A_4;Spi;A;indo;4;10;10;no;no;no;no
Spi_A_5;Spi;A;indo;5;100;100;no;no;no;no
Spi_A_6;Spi;A;indo;6;control;0;no;no;no;no
Spi_A_7;Spi;A;indo;7;0.1;0.1;no;no;no;no
Spi_A_8;Spi;A;indo;8;1;1;no;no;no;no
Spi_A_9;Spi;A;indo;9;10;10;no;no;no;no
Spi_B_1;Spi;B;indo;1;control;0;no;no;no;no
Spi_B_10;Spi;B;indo;10;100;100;no;no;no;no
Spi_B_11;Spi;B;indo;11;control;0;no;yes;yes;yes
Spi_B_12;Spi;B;indo;12;0.1;0.1;no;no;no;no
Spi_B_13;Spi;B;indo;13;1;1;no;no;no;no
Spi_B_14;Spi;B;indo;14;10;10;no;yes;no;no
Spi_B_15;Spi;B;indo;15;100;100;no;no;no;no
Spi_B_2;Spi;B;indo;2;0.1;0.1;no;no;no;no
Spi_B_3;Spi;B;indo;3;1;1;no;no;no;no
Spi_B_4;Spi;B;indo;4;10;10;no;no;no;no
Spi_B_5;Spi;B;indo;5;100;100;no;no;yes;no
Spi_B_6;Spi;B;indo;6;control;0;no;no;no;no
Spi_B_7;Spi;B;indo;7;0.1;0.1;no;no;no;no
Spi_B_8;Spi;B;indo;8;1;1;no;no;yes;yes
Spi_B_9;Spi;B;indo;9;10;10;no;no;yes;yes
Spi_C_1;Spi;C;indo;1;control;0;no;no;no;no
Spi_C_10;Spi;C;indo;10;100;100;no;no;no;no
Spi_C_11;Spi;C;indo;11;control;0;no;no;no;no
Spi_C_12;Spi;C;indo;12;0.1;0.1;no;no;no;no
Spi_C_13;Spi;C;indo;13;1;1;no;no;no;no
Spi_C_14;Spi;C;indo;14;10;10;no;no;no;no
Spi_C_15;Spi;C;indo;15;100;100;no;no;no;no
Spi_C_2;Spi;C;indo;2;0.1;0.1;no;no;no;no
Spi_C_3;Spi;C;indo;3;1;1;no;no;no;no
Spi_C_4;Spi;C;indo;4;10;10;no;no;no;no
Spi_C_5;Spi;C;indo;5;100;100;no;no;no;no
Spi_C_6;Spi;C;indo;6;control;0;no;no;no;no
Spi_C_7;Spi;C;indo;7;0.1;0.1;no;no;no;no
Spi_C_8;Spi;C;indo;8;1;1;no;no;no;no
Spi_C_9;Spi;C;indo;9;10;10;no;no;no;no
Spi_D_1;Spi;D;redsea;1;control;0;no;no;no;no
Spi_D_10;Spi;D;redsea;10;100;100;no;yes;yes;yes
Spi_D_11;Spi;D;redsea;11;control;0;no;no;no;no
Spi_D_12;Spi;D;redsea;12;0.1;0.1;no;no;no;no
Spi_D_13;Spi;D;redsea;13;1;1;no;yes;yes;yes
Spi_D_14;Spi;D;redsea;14;10;10;no;yes;yes;yes
Spi_D_15;Spi;D;redsea;15;100;100;no;yes;yes;yes
Spi_D_2;Spi;D;redsea;2;0.1;0.1;no;no;yes;yes
Spi_D_3;Spi;D;redsea;3;1;1;no;no;yes;yes
Spi_D_4;Spi;D;redsea;4;10;10;no;yes;yes;yes
Spi_D_5;Spi;D;redsea;5;100;100;no;yes;yes;yes
Spi_D_6;Spi;D;redsea;6;control;0;no;no;yes;no
Spi_D_7;Spi;D;redsea;7;0.1;0.1;no;no;yes;yes
Spi_D_8;Spi;D;redsea;8;1;1;no;no;no;no
Spi_D_9;Spi;D;redsea;9;10;10;no;no;yes;yes
Spi_E_1;Spi;E;redsea;1;control;0;no;no;no;no
Spi_E_10;Spi;E;redsea;10;100;100;no;no;yes;yes
Spi_E_11;Spi;E;redsea;11;control;0;no;no;no;no
Spi_E_12;Spi;E;redsea;12;0.1;0.1;no;no;no;yes
Spi_E_13;Spi;E;redsea;13;1;1;no;yes;no;no
Spi_E_14;Spi;E;redsea;14;10;10;no;no;no;no
Spi_E_15;Spi;E;redsea;15;100;100;no;yes;no;no
Spi_E_2;Spi;E;redsea;2;0.1;0.1;no;no;no;no
Spi_E_3;Spi;E;redsea;3;1;1;no;no;no;no
Spi_E_4;Spi;E;redsea;4;10;10;no;no;no;no
Spi_E_5;Spi;E;redsea;5;100;100;no;no;no;yes
Spi_E_6;Spi;E;redsea;6;control;0;no;no;no;no
Spi_E_7;Spi;E;redsea;7;0.1;0.1;no;no;no;no
Spi_E_8;Spi;E;redsea;8;1;1;no;no;no;no
Spi_E_9;Spi;E;redsea;9;10;10;no;no;no;no
Spi_F_1;Spi;F;redsea;1;control;0;no;no;no;no
Spi_F_10;Spi;F;redsea;10;100;100;no;no;no;no
Spi_F_11;Spi;F;redsea;11;control;0;no;no;no;no
Spi_F_12;Spi;F;redsea;12;0.1;0.1;no;no;no;no
Spi_F_13;Spi;F;redsea;13;1;1;no;yes;yes;no
Spi_F_14;Spi;F;redsea;14;10;10;no;no;no;no
Spi_F_15;Spi;F;redsea;15;100;100;no;no;no;yes
Spi_F_2;Spi;F;redsea;2;0.1;0.1;no;no;no;no
Spi_F_3;Spi;F;redsea;3;1;1;no;no;no;no
Spi_F_4;Spi;F;redsea;4;10;10;no;no;no;no
Spi_F_5;Spi;F;redsea;5;100;100;no;no;no;no
Spi_F_6;Spi;F;redsea;6;control;0;no;no;no;no
Spi_F_7;Spi;F;redsea;7;0.1;0.1;no;no;no;no
Spi_F_8;Spi;F;redsea;8;1;1;no;no;no;no
Spi_F_9;Spi;F;redsea;9;10;10;no;no;no;no
