Filename	Surface	Volume	Vertices	Edges	Faces
t3_Pve_A_1	1214.328369	2759.863037	39108	117318	
t3_Pve_A_10	1428.608521	3543.404541	43605	130809	
t3_Pve_A_11	1676.247437	3692.086182	52866	158592	105728
t3_Pve_A_12	2059.450195	4186.697754	64382	193146	128764
t3_Pve_A_13	1583.886108	3277.028076	50047	150135	100090
t3_Pve_A_14	1442.157104	3400.308350	46064	138186	
t3_Pve_A_15	1809.014893	3957.433350	56010	168024	112016
t3_Pve_A_2	1016.137451	2145.845215	31687	95055	
t3_Pve_A_3	1180.698364	2952.334473	37861	113577	
t3_Pve_A_4	1407.000366	3232.774902	42029	126081	
t3_Pve_A_5	1195.109619	2436.888428	37782	113340	
t3_Pve_A_6	1684.469604	4049.225098	52733	158193	105462
t3_Pve_A_7	1575.088135	3770.488770	50408	151218	100812
t3_Pve_A_8	1465.479980	3068.016846	46101	138297	
t3_Pve_A_9	1875.781250	4576.785156	57715	173139	115426
t3_Pve_B_1	2122.606445	2971.862793	55017	165045	110030
t3_Pve_B_10	1103.368042	1413.401611	34875	104619	
t3_Pve_B_11	1912.195313	2407.359619	52578	157728	105152
t3_Pve_B_12	1979.816772	2851.468262	53295	159879	106586
t3_Pve_B_13	1766.647949	2295.872314	49240	147714	
t3_Pve_B_14	1738.473389	2302.699463	48672	146010	
t3_Pve_B_15	1416.174683	1707.713013	41612	124830	
t3_Pve_B_2	1854.850952	2592.999268	57711	173127	115418
t3_Pve_B_3	1920.209839	2823.715088	52928	158778	105852
t3_Pve_B_4	1922.510376	3004.093506	56056	168162	112108
t3_Pve_B_5	1394.137085	1900.776245	41832	125490	
t3_Pve_B_6	1334.075562	1768.292480	37017	111045	
t3_Pve_B_7	1882.190430	2768.926270	57506	172512	115008
t3_Pve_B_8	1727.758057	2253.205811	50500	151494	100996
t3_Pve_B_9	1691.259888	2394.088379	50642	151926	101284
t3_Pve_C_1	2007.579346	4336.222168	59407	178215	118810
t3_Pve_C_10	1103.453369	2365.558350	34903	104703	
t3_Pve_C_11	1403.683350	3246.566162	44622	133860	
t3_Pve_C_12	2227.764404	5806.480957	70328	210978	140652
t3_Pve_C_13	1418.736084	3193.576172	41975	125919	
t3_Pve_C_14	2359.858887	7142.850586	73293	219873	146582
t3_Pve_C_15	2252.025391	6133.847656	66568	199698	133132
t3_Pve_C_2	2366.907959	5920.767578	62398	187188	124792
t3_Pve_C_3	2299.715576	5907.424316	66481	199437	132958
t3_Pve_C_4	2165.661865	4186.856934	62652	187950	125300
t3_Pve_C_5	1709.342896	4047.342041	51683	155043	103362
t3_Pve_C_6	1543.294434	3214.528564	45254	135756	
t3_Pve_C_7	1662.793579	3737.572998	51501	154497	102998
t3_Pve_C_8	1444.407349	3316.631104	43303	129903	
t3_Pve_C_9	1863.001099	4288.791504	57503	172503	115002
t3_Pve_D_1	1966.839233	2544.570557	58478	175428	116952
t3_Pve_D_10	1801.634155	2372.992188	53525	160569	107046
t3_Pve_D_11	1031.399780	1408.468994	32198	96588	
t3_Pve_D_12	1107.337158	1424.520508	33892	101670	
t3_Pve_D_13	697.817017	817.137817	22205	66609	
t3_Pve_D_14	839.881226	1122.828247	25750	77244	
t3_Pve_D_15	672.170532	863.388916	20118	60348	
t3_Pve_D_2	2116.633789	3062.603027	64595	193779	129186
t3_Pve_D_3	1993.654053	2483.954590	50410	151224	100816
t3_Pve_D_4	1494.613525	1763.154785	45757	137265	
t3_Pve_D_5	1721.722534	2454.076416	49625	148869	
t3_Pve_D_6	1997.081909	2387.337891	60650	181944	121296
t3_Pve_D_7	2078.636719	2693.690674	58204	174606	116404
t3_Pve_D_8	1703.378052	1992.374146	47957	143871	
t3_Pve_D_9	1545.504395	2148.617188	45536	136602	
t3_Pve_E_1	868.124084	1215.920044	26023	78063	
t3_Pve_E_10	919.795349	1236.882813	27118	81348	
t3_Pve_E_11	1152.873535	1747.536865	36510	109524	
t3_Pve_E_12	1510.309082	2280.719482	46444	139326	
t3_Pve_E_13	1475.669800	2060.328613	44994	134976	
t3_Pve_E_14	1044.923706	1626.199951	31790	95364	
t3_Pve_E_15	844.249817	1132.449829	25204	75606	
t3_Pve_E_2	867.832886	1182.994019	28093	84273	
t3_Pve_E_3	659.306030	1026.429321	19741	59217	
t3_Pve_E_4	1145.385498	1988.862305	34580	103734	
t3_Pve_E_5	886.648865	1319.144409	27496	82482	
t3_Pve_E_6	1458.319092	2067.431885	41455	124359	
t3_Pve_E_7	606.173218	722.931213	18826	56472	
t3_Pve_E_8	1162.476563	1588.068970	34723	104163	
t3_Pve_E_9	1046.657471	1503.008545	30790	92364	
t3_Pve_F_1	2246.719238	2642.963623	57406	172212	114808
t3_Pve_F_10	1109.579346	1037.506470	32961	98877	
t3_Pve_F_11	1297.971436	1359.115112	37331	111993	
t3_Pve_F_12	769.629395	607.231384	23207	69615	
t3_Pve_F_13	1033.504517	1140.404175	28576	85722	
