Parameter;Species;Data;compared;Estimate;Std_Error;z_value;p;stars
surface;Pve;1;0.1;-0.0236;0.0325;-0.725;1;
surface;Pve;1;1;-0.0337;0.0326;-1.033;1;
surface;Pve;1;10;-0.0398;0.0331;-1.2;1;
surface;Pve;1;100;-0.0431;0.0327;-1.318;1;
surface;Pve;2;0.1;0.192;0.1353;1.419;1;
surface;Pve;2;1;0.1446;0.1353;1.069;1;
surface;Pve;2;10;0.1878;0.1353;1.388;1;
surface;Pve;2;100;-0.1872;0.1353;-1.384;1;
surface;Pve;3;0.1;0.0031;0.0307;0.099;1;
surface;Pve;3;1;0.0068;0.0307;0.22;1;
surface;Pve;3;10;0.0099;0.0306;0.322;1;
surface;Pve;3;100;-0.0955;0.0315;-3.036;0.0168;*
surface;Spi;1;0.1;-0.0244;0.0337;-0.725;1;
surface;Spi;1;1;-0.0129;0.0332;-0.389;1;
surface;Spi;1;10;-0.0219;0.0332;-0.661;1;
surface;Spi;1;100;-0.0611;0.033;-1.848;0.646;
surface;Spi;2;0.1;0.0071;0.0324;0.22;1;
surface;Spi;2;1;-0.0135;0.0326;-0.414;1;
surface;Spi;2;10;0.0216;0.0323;0.669;1;
surface;Spi;2;100;-0.0703;0.033;-2.129;0.2657;
surface;Spi;3;0.1;-0.0038;0.0315;-1.121;1;
surface;Spi;3;1;-0.0079;0.0315;-0.249;1;
surface;Spi;3;10;0.0307;0.0312;-0.984;1;
surface;Spi;3;100;-0.0827;0.0321;-2.575;0.0902;
volume;Pve;1;0.1;0.1537;0.2599;0.591;1;
volume;Pve;1;1;-0.2861;0.2599;-1.101;1;
volume;Pve;1;10;0.2052;0.2639;0.778;1;
volume;Pve;1;100;-0.1467;0.2599;-0.564;1;
volume;Pve;2;0.1;0.0139;0.3218;0.043;1;
volume;Pve;2;1;0.17;0.3218;0.528;1;
volume;Pve;2;10;0.2914;0.3218;0.906;1;
volume;Pve;2;100;-0.6606;0.3218;-2.053;0.2886;
volume;Pve;3;0.1;0.0865;0.273;0.317;1;
volume;Pve;3;1;0.225;0.273;0.824;1;
volume;Pve;3;10;0.1488;0.273;0.545;1;
volume;Pve;3;100;-0.8204;0.273;-3.005;0.0186;*
volume;Spi;1;0.1;-0.2326;0.2433;-0.9560;0.9702;
volume;Spi;1;1;0.4895;0.2399;2.0410;0.2477;
volume;Spi;1;10;0.3986;0.2399;1.6620;0.3864;
volume;Spi;1;100;-0.4697;0.2362;-1.9880;0.2477;
volume;Spi;2;0.1;0.2924;0.1926;1.518;0.4879;
volume;Spi;2;1;-0.1557;0.1926;-0.808;0.838;
volume;Spi;2;10;0.2979;0.1926;1.546;0.4879;
volume;Spi;2;100;-0.5097;0.1926;-2.646;0.0651;
volume;Spi;3;0.1;-0.0333;0.1863;-0.1790;1;
volume;Spi;3;1;0.0831;0.1863;0.4460;1;
volume;Spi;3;10;0.1017;0.1863;0.5460;1;
volume;Spi;3;100;-0.4893;0.1863;-2.6270;0.069;
weight;Pve;1;0.1;-0.4654;0.3455;-1.347;1;
weight;Pve;1;1;-0.1837;0.3455;-0.532;1;
