Parameter;Species;Estimate;Std_Error;z_value;p;stars
surface;Pve;-0.0006;0.0002;-3.8510;0.0001;***
surface;Spi;-0.0007;0.0002;-4.5610;0.0000;***
volume;Pve;0.0000;0.0002;-0.0050;0.9960;
volume;Spi;-0.004844;0.0010;-5.0360;0.0000;***
weight;Pve;-0.0005;0.0001;-3.5840;0.0003;***
weight;Spi;-0.0008;0.0001;-5.8310;0.0000;***
polypactivity;Pve;0.0000;0.0002;-0.1670;0.8680;
polypactivity;Spi;-0.0054;0.0011;-4.9950;0.0000;***
YII;Pve;-0.0037;0.0012;-3.1710;0.0015;**
YII;Spi;-0.0001;0.0020;-0.0720;0.9430;
Fv_Fm;Pve;0.0019;0.0013;1.4030;0.1610;
Fv_Fm;Spi;-0.0011;0.0015;-0.7210;0.4710;
rETRmax;Pve;-0.0006;0.0013;-0.4720;0.6370;
rETRmax;Spi;0.0010;0.0013;0.7790;0.4360;
Ek;Pve;-0.0003;0.0001;-4.0290;0.0001;***
Ek;Spi;0.0002;0.0001;2.5410;0.0110;
alpha;Pve;0.0011;0.0013;0.7940;0.4270;
alpha;Spi;0.0008;0.0013;0.6210;0.5350;
