"";"spec";"treat";"tp";"cat";"n";"prop"
"1";"Pve";"control";0;"none";18;100
"2";"Pve";"control";1;"none";18;100
"3";"Pve";"control";2;"none";17;94,4
"4";"Pve";"control";2;"moderate";1;5,6
"5";"Pve";"control";3;"none";16;88,9
"6";"Pve";"control";3;"moderate";2;11,1
"7";"Pve";"0.1";0;"none";18;100
"8";"Pve";"0.1";1;"none";18;100
"9";"Pve";"0.1";2;"none";17;94,4
"10";"Pve";"0.1";2;"low";1;5,6
"11";"Pve";"0.1";3;"none";17;94,4
"12";"Pve";"0.1";3;"moderate";1;5,6
"13";"Pve";"1";0;"none";18;100
"14";"Pve";"1";1;"none";16;88,9
"15";"Pve";"1";1;"low";2;11,1
"16";"Pve";"1";2;"none";16;88,9
"17";"Pve";"1";2;"low";2;11,1
"18";"Pve";"1";3;"none";15;83,3
"19";"Pve";"1";3;"low";3;16,7
"20";"Pve";"10";0;"none";18;100
"21";"Pve";"10";1;"none";17;94,4
"22";"Pve";"10";1;"moderate";1;5,6
"23";"Pve";"10";2;"none";16;88,9
"24";"Pve";"10";2;"low";1;5,6
"25";"Pve";"10";2;"moderate";1;5,6
"26";"Pve";"10";3;"none";17;94,4
"27";"Pve";"10";3;"moderate";1;5,6
"28";"Pve";"100";0;"none";18;100
"29";"Pve";"100";1;"none";17;94,4
"30";"Pve";"100";1;"moderate";1;5,6
"31";"Pve";"100";2;"none";17;94,4
"32";"Pve";"100";2;"low";1;5,6
"33";"Pve";"100";3;"none";15;83,3
"34";"Pve";"100";3;"low";2;11,1
"35";"Pve";"100";3;"moderate";1;5,6
"36";"Spi";"control";0;"none";18;100
"37";"Spi";"control";1;"none";17;94,4
"38";"Spi";"control";1;"moderate";1;5,6
"39";"Spi";"control";2;"none";16;88,9
"40";"Spi";"control";2;"low";1;5,6
"41";"Spi";"control";2;"moderate";1;5,6
"42";"Spi";"control";3;"none";17;94,4
"43";"Spi";"control";3;"moderate";1;5,6
"44";"Spi";"0.1";0;"none";18;100
"45";"Spi";"0.1";1;"none";18;100
"46";"Spi";"0.1";2;"none";16;88,9
"47";"Spi";"0.1";2;"moderate";2;11,1
"48";"Spi";"0.1";3;"none";16;88,9
"49";"Spi";"0.1";3;"moderate";1;5,6
"50";"Spi";"0.1";3;"high";1;5,6
"51";"Spi";"1";0;"none";18;100
"52";"Spi";"1";1;"none";15;83,3
"53";"Spi";"1";1;"low";2;11,1
"54";"Spi";"1";1;"moderate";1;5,6
"55";"Spi";"1";2;"none";14;77,8
"56";"Spi";"1";2;"low";2;11,1
"57";"Spi";"1";2;"moderate";2;11,1
"58";"Spi";"1";3;"none";15;83,3
"59";"Spi";"1";3;"low";1;5,6
"60";"Spi";"1";3;"moderate";1;5,6
"61";"Spi";"1";3;"high";1;5,6
"62";"Spi";"10";0;"none";18;100
"63";"Spi";"10";1;"none";15;83,3
"64";"Spi";"10";1;"low";1;5,6
"65";"Spi";"10";1;"moderate";2;11,1
"66";"Spi";"10";2;"none";14;77,8
"67";"Spi";"10";2;"low";3;16,7
"68";"Spi";"10";2;"moderate";1;5,6
"69";"Spi";"10";3;"none";15;83,3
"70";"Spi";"10";3;"low";3;16,7
"71";"Spi";"100";0;"none";18;100
"72";"Spi";"100";1;"none";14;77,8
"73";"Spi";"100";1;"low";1;5,6
"74";"Spi";"100";1;"moderate";3;16,7
"75";"Spi";"100";2;"none";13;72,2
"76";"Spi";"100";2;"low";2;11,1
"77";"Spi";"100";2;"moderate";2;11,1
"78";"Spi";"100";2;"high";1;5,6
"79";"Spi";"100";3;"none";12;66,7
"80";"Spi";"100";3;"low";3;16,7
"81";"Spi";"100";3;"moderate";2;11,1
"82";"Spi";"100";3;"high";1;5,6
