Polymer;Form;variable;n;min;max;mean;sd
PA;Fibers;Length;100;750,24;9079,96;2918,197;1689,801
PA;Fibers;Width;100;84,82;504,65;272,747;55,605
PET;Fibers;Length;100;173,03;5788,92;1236,731;1237,525
PET;Fibers;Width;100;7,25;19,92;14,267;3,184
PP;Fibers;Length;100;137,63;2321,50;645,715;419,054
PP;Fibers;Width;100;22,86;59,28;35,648;5,657
PE;Fragments;Length;100;105,58;777,44;271,765;104,609
PE;Fragments;Width;100;52,00;317,06;162,836;58,912
PS;Fragments;Length;100;153,35;1082,68;426,532;179,168
PS;Fragments;Width;100;56,11;375,78;187,604;75,493
PVC;Fragments;Length;100;98,79;636,08;302,329;100,774
PVC;Fragments;Width;100;52,63;305,07;131,195;47,219
