spec;treat;time;variable;n;min;max;mean;sd
Pve;control;1;surface_growth;18;-1,039;16,977;6,362;5,147
Pve;control;2;surface_growth;18;-0,844;26,525;9,860;8,020
Pve;control;3;surface_growth;18;-17,988;53,859;17,840;16,492
Pve;0.1;1;surface_growth;18;-2,784;8,825;3,885;3,382
Pve;0.1;2;surface_growth;18;2,594;43,883;13,984;10,478
Pve;0.1;3;surface_growth;18;3,803;27,296;18,200;6,662
Pve;1;1;surface_growth;18;-6,215;7,509;2,839;3,466
Pve;1;2;surface_growth;18;0,166;44,079;13,322;10,866
Pve;1;3;surface_growth;18;1,110;47,866;18,638;12,151
Pve;10;1;surface_growth;17;-34,618;13,160;2,489;10,160
Pve;10;2;surface_growth;18;1,789;34,495;13,796;9,287
Pve;10;3;surface_growth;18;6,029;43,524;19,007;10,368
Pve;100;1;surface_growth;18;-21,373;13,970;1,880;7,564
Pve;100;2;surface_growth;18;-1,827;34,725;7,484;10,416
Pve;100;3;surface_growth;18;-36,413;30,177;7,102;14,038
Spi;control;1;surface_growth;17;-17,514;60,553;8,456;15,211
Spi;control;2;surface_growth;16;-21,938;27,795;12,917;12,418
Spi;control;3;surface_growth;17;-6,916;33,547;15,725;10,825
Spi;0.1;1;surface_growth;16;1,303;14,436;6,118;3,670
Spi;0.1;2;surface_growth;18;-43,923;28,508;12,466;17,903
Spi;0.1;3;surface_growth;18;-34,901;37,684;15,240;14,797
Spi;1;1;surface_growth;17;-10,051;19,006;6,466;6,444
Spi;1;2;surface_growth;18;-38,061;29,168;10,171;15,067
Spi;1;3;surface_growth;18;-31,690;29,642;14,774;15,555
Spi;10;1;surface_growth;17;-16,559;17,608;5,697;9,599
Spi;10;2;surface_growth;18;-2,191;30,879;14,104;8,848
Spi;10;3;surface_growth;18;5,142;40,589;19,291;11,208
Spi;100;1;surface_growth;18;-19,005;10,222;1,426;9,046
Spi;100;2;surface_growth;18;-34,957;21,396;4,083;13,956
Spi;100;3;surface_growth;18;-47,432;28,503;6,496;17,030
