spec;treat;time;variable;n;min;max;mean;sd
Pve;control;1;volume_growth;18;0,002;0,015;0,007;0,004
Pve;control;2;volume_growth;18;-0,008;0,049;0,020;0,013
Pve;control;3;volume_growth;18;0,000;0,050;0,025;0,015
Pve;0.1;1;volume_growth;18;-0,007;0,024;0,008;0,007
Pve;0.1;2;volume_growth;18;0,002;0,050;0,020;0,012
Pve;0.1;3;volume_growth;18;0,010;0,064;0,026;0,013
Pve;1;1;volume_growth;18;-0,002;0,018;0,005;0,006
Pve;1;2;volume_growth;18;-0,001;0,051;0,022;0,014
Pve;1;3;volume_growth;18;0,009;0,053;0,028;0,015
Pve;10;1;volume_growth;17;-0,005;0,024;0,009;0,008
Pve;10;2;volume_growth;18;0,005;0,053;0,024;0,014
Pve;10;3;volume_growth;18;0,003;0,052;0,027;0,013
Pve;100;1;volume_growth;18;-0,009;0,026;0,006;0,009
Pve;100;2;volume_growth;18;-0,003;0,031;0,011;0,010
Pve;100;3;volume_growth;18;-0,002;0,035;0,013;0,011
Spi;control;1;volume_growth;17;-0,004;0,018;0,007;0,006
Spi;control;2;volume_growth;16;0,002;0,050;0,022;0,014
Spi;control;3;volume_growth;17;-0,004;0,053;0,023;0,015
Spi;0.1;1;volume_growth;16;-0,002;0,014;0,006;0,005
Spi;0.1;2;volume_growth;18;-0,006;0,053;0,026;0,015
Spi;0.1;3;volume_growth;18;-0,001;0,060;0,023;0,014
Spi;1;1;volume_growth;17;0,000;0,029;0,011;0,007
Spi;1;2;volume_growth;18;-0,003;0,048;0,019;0,013
Spi;1;3;volume_growth;18;-0,005;0,050;0,024;0,016
Spi;10;1;volume_growth;17;0,000;0,025;0,010;0,008
Spi;10;2;volume_growth;18;0,006;0,061;0,026;0,017
Spi;10;3;volume_growth;18;-0,005;0,069;0,025;0,021
Spi;100;1;volume_growth;18;-0,006;0,015;0,004;0,005
Spi;100;2;volume_growth;18;-0,008;0,043;0,014;0,012
Spi;100;3;volume_growth;18;-0,014;0,039;0,015;0,014
