spec;treat;time;variable;n;min;max;mean;sd
Pve;control;1;weight_growth;18;3,529;40,048;18,879;10,023
Pve;control;2;weight_growth;18;-0,807;45,337;23,818;12,076
Pve;control;3;weight_growth;18;3,220;65,962;39,675;18,332
Pve;0.1;1;weight_growth;18;-14,689;48,490;14,778;14,663
Pve;0.1;2;weight_growth;18;3,849;45,091;26,408;11,312
Pve;0.1;3;weight_growth;18;26,212;74,549;43,299;12,143
Pve;1;1;weight_growth;18;6,689;53,113;16,924;11,119
Pve;1;2;weight_growth;18;-1,921;52,642;26,462;13,596
Pve;1;3;weight_growth;18;18,856;73,645;46,148;17,788
Pve;10;1;weight_growth;17;3,322;52,689;21,046;12,352
Pve;10;2;weight_growth;18;4,272;51,376;30,530;14,163
Pve;10;3;weight_growth;18;8,251;69,270;42,159;15,737
Pve;100;1;weight_growth;18;4,000;71,768;21,981;18,252
Pve;100;2;weight_growth;18;-17,636;44,233;14,467;14,864
Pve;100;3;weight_growth;18;7,848;86,429;31,574;22,864
Spi;control;1;weight_growth;18;2,702;30,984;17,918;8,155
Spi;control;2;weight_growth;17;6,922;137,943;36,864;29,438
Spi;control;3;weight_growth;17;-3,591;81,864;38,628;24,235
Spi;0.1;1;weight_growth;16;-9,601;30,749;19,360;9,849
Spi;0.1;2;weight_growth;18;-7,045;58,916;32,719;19,662
Spi;0.1;3;weight_growth;18;-7,007;94,501;39,113;23,268
Spi;1;1;weight_growth;17;0,261;36,414;18,886;10,973
Spi;1;2;weight_growth;18;4,305;62,914;30,433;17,064
Spi;1;3;weight_growth;18;-10,833;77,764;41,262;22,498
Spi;10;1;weight_growth;17;1,291;36,687;21,005;10,809
Spi;10;2;weight_growth;18;-9,094;76,681;30,486;21,338
Spi;10;3;weight_growth;18;9,130;102,837;45,507;28,099
Spi;100;1;weight_growth;18;1,512;29,728;14,694;8,012
Spi;100;2;weight_growth;18;-1,842;53,316;19,472;15,095
Spi;100;3;weight_growth;18;0,842;79,820;27,074;20,801
