"";"ID";"spec";"col";"tank";"tp";"treat";"conc";"necro_occured";"treatment";"necro_per"
"1";"Pve_A_1";"Pve";"A";"1";0;"control";0;"no";"control";0
"2";"Pve_A_1";"Pve";"A";"1";1;"control";0;"no";"control";0
"3";"Pve_A_1";"Pve";"A";"1";2;"control";0;"no";"control";0
"4";"Pve_A_1";"Pve";"A";"1";3;"control";0;"no";"control";0
"5";"Pve_A_10";"Pve";"A";"10";0;"100";100;"no";"D";0
"6";"Pve_A_10";"Pve";"A";"10";1;"100";100;"no";"D";0
"7";"Pve_A_10";"Pve";"A";"10";2;"100";100;"no";"D";0
"8";"Pve_A_10";"Pve";"A";"10";3;"100";100;"no";"D";0
"9";"Pve_A_11";"Pve";"A";"11";0;"control";0;"no";"control";0
"10";"Pve_A_11";"Pve";"A";"11";1;"control";0;"no";"control";0
"11";"Pve_A_11";"Pve";"A";"11";2;"control";0;"no";"control";0
"12";"Pve_A_11";"Pve";"A";"11";3;"control";0;"no";"control";0
"13";"Pve_A_12";"Pve";"A";"12";0;"0.1";0,1;"no";"A";0
"14";"Pve_A_12";"Pve";"A";"12";1;"0.1";0,1;"no";"A";0
"15";"Pve_A_12";"Pve";"A";"12";2;"0.1";0,1;"no";"A";0
"16";"Pve_A_12";"Pve";"A";"12";3;"0.1";0,1;"no";"A";0
"17";"Pve_A_13";"Pve";"A";"13";0;"1";1;"no";"B";0
"18";"Pve_A_13";"Pve";"A";"13";1;"1";1;"no";"B";0
"19";"Pve_A_13";"Pve";"A";"13";2;"1";1;"no";"B";0
"20";"Pve_A_13";"Pve";"A";"13";3;"1";1;"no";"B";0
"21";"Pve_A_14";"Pve";"A";"14";0;"10";10;"no";"C";0
"22";"Pve_A_14";"Pve";"A";"14";1;"10";10;"no";"C";0
"23";"Pve_A_14";"Pve";"A";"14";2;"10";10;"no";"C";0
"24";"Pve_A_14";"Pve";"A";"14";3;"10";10;"no";"C";0
"25";"Pve_A_15";"Pve";"A";"15";0;"100";100;"no";"D";0
"26";"Pve_A_15";"Pve";"A";"15";1;"100";100;"no";"D";0
"27";"Pve_A_15";"Pve";"A";"15";2;"100";100;"no";"D";0
"28";"Pve_A_15";"Pve";"A";"15";3;"100";100;"no";"D";0
"29";"Pve_A_2";"Pve";"A";"2";0;"0.1";0,1;"no";"A";0
"30";"Pve_A_2";"Pve";"A";"2";1;"0.1";0,1;"no";"A";0
"31";"Pve_A_2";"Pve";"A";"2";2;"0.1";0,1;"no";"A";0
"32";"Pve_A_2";"Pve";"A";"2";3;"0.1";0,1;"no";"A";0
"33";"Pve_A_3";"Pve";"A";"3";0;"1";1;"no";"B";0
"34";"Pve_A_3";"Pve";"A";"3";1;"1";1;"no";"B";0
"35";"Pve_A_3";"Pve";"A";"3";2;"1";1;"no";"B";0
"36";"Pve_A_3";"Pve";"A";"3";3;"1";1;"no";"B";0
"37";"Pve_A_4";"Pve";"A";"4";0;"10";10;"no";"C";0
"38";"Pve_A_4";"Pve";"A";"4";1;"10";10;"no";"C";0
"39";"Pve_A_4";"Pve";"A";"4";2;"10";10;"no";"C";0
"40";"Pve_A_4";"Pve";"A";"4";3;"10";10;"no";"C";0
"41";"Pve_A_5";"Pve";"A";"5";0;"100";100;"no";"D";0
"42";"Pve_A_5";"Pve";"A";"5";1;"100";100;"no";"D";0
"43";"Pve_A_5";"Pve";"A";"5";2;"100";100;"no";"D";0
"44";"Pve_A_5";"Pve";"A";"5";3;"100";100;"no";"D";0
"45";"Pve_A_6";"Pve";"A";"6";0;"control";0;"no";"control";0
"46";"Pve_A_6";"Pve";"A";"6";1;"control";0;"no";"control";0
"47";"Pve_A_6";"Pve";"A";"6";2;"control";0;"no";"control";0
"48";"Pve_A_6";"Pve";"A";"6";3;"control";0;"no";"control";0
"49";"Pve_A_7";"Pve";"A";"7";0;"0.1";0,1;"no";"A";0
"50";"Pve_A_7";"Pve";"A";"7";1;"0.1";0,1;"no";"A";0
"51";"Pve_A_7";"Pve";"A";"7";2;"0.1";0,1;"no";"A";0
"52";"Pve_A_7";"Pve";"A";"7";3;"0.1";0,1;"no";"A";0
"53";"Pve_A_8";"Pve";"A";"8";0;"1";1;"no";"B";0
"54";"Pve_A_8";"Pve";"A";"8";1;"1";1;"no";"B";0
"55";"Pve_A_8";"Pve";"A";"8";2;"1";1;"no";"B";0
"56";"Pve_A_8";"Pve";"A";"8";3;"1";1;"no";"B";0
