ID;col;conc;tp;variable;n;mean
Spi_A_1;A;0,0;0;ranks;3;1,000
Spi_A_10;A;100,0;0;ranks;3;1,000
Spi_A_11;A;0,0;0;ranks;3;1,000
Spi_A_12;A;0,1;0;ranks;3;1,000
Spi_A_13;A;1,0;0;ranks;3;1,000
Spi_A_14;A;10,0;0;ranks;3;1,000
Spi_A_15;A;100,0;0;ranks;3;1,000
Spi_A_2;A;0,1;0;ranks;3;1,000
Spi_A_3;A;1,0;0;ranks;3;1,000
Spi_A_4;A;10,0;0;ranks;3;1,000
Spi_A_5;A;100,0;0;ranks;3;1,000
Spi_A_6;A;0,0;0;ranks;3;1,000
Spi_A_7;A;0,1;0;ranks;3;1,000
Spi_A_8;A;1,0;0;ranks;3;1,000
Spi_A_9;A;10,0;0;ranks;3;1,000
Spi_B_1;B;0,0;0;ranks;3;0,833
Spi_B_10;B;100,0;0;ranks;3;1,000
Spi_B_11;B;0,0;0;ranks;3;1,000
Spi_B_12;B;0,1;0;ranks;3;0,833
Spi_B_13;B;1,0;0;ranks;3;0,667
Spi_B_14;B;10,0;0;ranks;3;1,000
Spi_B_15;B;100,0;0;ranks;3;1,000
Spi_B_2;B;0,1;0;ranks;3;1,000
Spi_B_3;B;1,0;0;ranks;3;0,833
Spi_B_4;B;10,0;0;ranks;3;1,000
Spi_B_5;B;100,0;0;ranks;3;0,667
Spi_B_6;B;0,0;0;ranks;3;1,000
Spi_B_7;B;0,1;0;ranks;3;0,667
Spi_B_8;B;1,0;0;ranks;3;1,000
Spi_B_9;B;10,0;0;ranks;3;0,833
Spi_C_1;C;0,0;0;ranks;3;0,500
Spi_C_10;C;100,0;0;ranks;3;0,500
Spi_C_11;C;0,0;0;ranks;3;0,833
Spi_C_12;C;0,1;0;ranks;3;0,667
Spi_C_13;C;1,0;0;ranks;3;0,667
Spi_C_14;C;10,0;0;ranks;3;0,333
Spi_C_15;C;100,0;0;ranks;3;0,667
Spi_C_2;C;0,1;0;ranks;3;0,667
Spi_C_3;C;1,0;0;ranks;3;0,500
Spi_C_4;C;10,0;0;ranks;3;0,500
Spi_C_5;C;100,0;0;ranks;3;0,667
Spi_C_6;C;0,0;0;ranks;3;0,833
Spi_C_7;C;0,1;0;ranks;3;0,667
Spi_C_8;C;1,0;0;ranks;3;0,833
Spi_C_9;C;10,0;0;ranks;3;0,667
Spi_D_1;D;0,0;0;ranks;3;0,667
Spi_D_10;D;100,0;0;ranks;3;0,500
Spi_D_11;D;0,0;0;ranks;3;0,833
Spi_D_12;D;0,1;0;ranks;3;0,833
Spi_D_13;D;1,0;0;ranks;3;0,500
