ID;spec;conc;value;parameter
Pve_A_1;Pve;0,0;221,1445689678042;Ek
Pve_A_10;Pve;100,0;307,3173170771455;Ek
Pve_A_11;Pve;0,0;262,7083680358046;Ek
Pve_A_12;Pve;0,1;254,9658582314341;Ek
Pve_A_13;Pve;1,0;337,5134108160589;Ek
Pve_A_14;Pve;10,0;353,6025265046309;Ek
Pve_A_15;Pve;100,0;294,2610473887643;Ek
Pve_A_2;Pve;0,1;317,6785593175673;Ek
Pve_A_3;Pve;1,0;212,3707802442090;Ek
Pve_A_4;Pve;10,0;267,0596449399171;Ek
Pve_A_5;Pve;100,0;166,7078753462682;Ek
Pve_A_6;Pve;0,0;344,5593615815474;Ek
Pve_A_7;Pve;0,1;320,1185955139090;Ek
Pve_A_8;Pve;1,0;323,7261316723286;Ek
Pve_A_9;Pve;10,0;288,2538857788129;Ek
Pve_B_1;Pve;0,0;276,7366136856912;Ek
Pve_B_10;Pve;100,0;273,5364532247705;Ek
Pve_B_11;Pve;0,0;269,9325400005984;Ek
Pve_B_12;Pve;0,1;256,3448994007191;Ek
Pve_B_13;Pve;1,0;392,6180423932366;Ek
Pve_B_14;Pve;10,0;151,6596320974877;Ek
Pve_B_15;Pve;100,0;271,2653370575599;Ek
Pve_B_2;Pve;0,1;238,9105415522231;Ek
Pve_B_3;Pve;1,0;170,3698986927094;Ek
Pve_B_4;Pve;10,0;353,2708708188067;Ek
Pve_B_5;Pve;100,0;276,7648718593298;Ek
Pve_B_6;Pve;0,0;315,0006489757122;Ek
Pve_B_7;Pve;0,1;161,3009752030517;Ek
Pve_B_8;Pve;1,0;328,0142992478765;Ek
Pve_B_9;Pve;10,0;282,7804911904088;Ek
Pve_C_1;Pve;0,0;200,0335835369292;Ek
Pve_C_10;Pve;100,0;179,2970999956565;Ek
Pve_C_11;Pve;0,0;193,2830524991992;Ek
Pve_C_12;Pve;0,1;324,6695751084478;Ek
Pve_C_13;Pve;1,0;329,5638510037631;Ek
Pve_C_14;Pve;10,0;217,7481712644847;Ek
Pve_C_15;Pve;100,0;167,8121208452301;Ek
Pve_C_2;Pve;0,1;178,2501794777456;Ek
Pve_C_3;Pve;1,0;175,3761876398920;Ek
Pve_C_4;Pve;10,0;305,4449164051239;Ek
Pve_C_5;Pve;100,0;194,4075070054375;Ek
Pve_C_6;Pve;0,0;330,5429223721169;Ek
Pve_C_7;Pve;0,1;378,1783503387690;Ek
Pve_C_8;Pve;1,0;245,0643225871137;Ek
Pve_C_9;Pve;10,0;130,7903304673942;Ek
Pve_D_1;Pve;0,0;453,4633604369642;Ek
Pve_D_10;Pve;100,0;381,1548772727911;Ek
Pve_D_11;Pve;0,0;370,8485703438195;Ek
Pve_D_12;Pve;0,1;330,2126757023457;Ek
Pve_D_13;Pve;1,0;523,6344029829518;Ek
Pve_D_14;Pve;10,0;319,3380877721739;Ek
Pve_D_15;Pve;100,0;399,6882558178222;Ek
Pve_D_2;Pve;0,1;362,5045084297316;Ek
Pve_D_3;Pve;1,0;418,5508935781947;Ek
Pve_D_4;Pve;10,0;472,2378976577203;Ek
Pve_D_5;Pve;100,0;461,4367240103093;Ek
Pve_D_6;Pve;0,0;440,4346325894891;Ek
Pve_D_7;Pve;0,1;342,5009916822896;Ek
Pve_D_8;Pve;1,0;487,8221589230957;Ek
Pve_D_9;Pve;10,0;457,7940236257388;Ek
Pve_E_1;Pve;0,0;450,1896911925607;Ek
Pve_E_10;Pve;100,0;313,3179149639734;Ek
Pve_E_11;Pve;0,0;256,7077575482793;Ek
Pve_E_12;Pve;0,1;354,6410423624329;Ek
Pve_E_13;Pve;1,0;342,0675879753436;Ek
Pve_E_14;Pve;10,0;284,9554766656905;Ek
Pve_E_15;Pve;100,0;381,2483191988448;Ek
Pve_E_2;Pve;0,1;324,1598753692714;Ek
Pve_E_3;Pve;1,0;309,3547586611846;Ek
Pve_E_4;Pve;10,0;238,3558229538706;Ek
Pve_E_5;Pve;100,0;375,6800991407305;Ek
Pve_E_6;Pve;0,0;353,4118955811892;Ek
Pve_E_7;Pve;0,1;214,1026043577470;Ek
Pve_E_8;Pve;1,0;283,1889810475325;Ek
Pve_E_9;Pve;10,0;193,2945777405322;Ek
Pve_F_1;Pve;0,0;575,0568484319350;Ek
Pve_F_10;Pve;100,0;396,0650488526029;Ek
Pve_F_11;Pve;0,0;467,8653521475154;Ek
Pve_F_12;Pve;0,1;449,4754617382525;Ek
Pve_F_13;Pve;1,0;551,2892085441085;Ek
Pve_F_14;Pve;10,0;410,0869299323439;Ek
Pve_F_15;Pve;100,0;399,4159735975221;Ek
Pve_F_2;Pve;0,1;285,8195063901121;Ek
Pve_F_3;Pve;1,0;273,3029164597419;Ek
Pve_F_4;Pve;10,0;304,5632015639824;Ek
Pve_F_5;Pve;100,0;397,2535185152159;Ek
Pve_F_6;Pve;0,0;355,7029692710132;Ek
Pve_F_7;Pve;0,1;297,4476375098829;Ek
Pve_F_8;Pve;1,0;303,8534866484546;Ek
Pve_F_9;Pve;10,0;376,9543721561943;Ek
Spi_A_1;Spi;0,0;258,2097415104266;Ek
Spi_A_10;Spi;100,0;166,4860024602211;Ek
Spi_A_11;Spi;0,0;422,2298634394548;Ek
Spi_A_12;Spi;0,1;370,7249941633338;Ek
Spi_A_13;Spi;1,0;301,9644345385590;Ek
Spi_A_14;Spi;10,0;190,1020839886291;Ek
Spi_A_15;Spi;100,0;320,3971070332128;Ek
Spi_A_2;Spi;0,1;289,9672455159251;Ek
Spi_A_3;Spi;1,0;306,8589825549594;Ek
Spi_A_4;Spi;10,0;279,3185287173255;Ek
Spi_A_5;Spi;100,0;322,6867431145038;Ek
Spi_A_6;Spi;0,0;429,5293760165877;Ek
Spi_A_7;Spi;0,1;328,6883248151391;Ek
Spi_A_8;Spi;1,0;212,7485589261344;Ek
Spi_A_9;Spi;10,0;232,8530801889585;Ek
Spi_B_1;Spi;0,0;324,9224029517358;Ek
Spi_B_10;Spi;100,0;247,3760522825512;Ek
Spi_B_11;Spi;0,0;227,1741839287724;Ek
Spi_B_12;Spi;0,1;380,4020840778659;Ek
Spi_B_13;Spi;1,0;372,5367277652372;Ek
Spi_B_14;Spi;10,0;209,2081974881914;Ek
Spi_B_15;Spi;100,0;253,5285741942682;Ek
Spi_B_2;Spi;0,1;248,3224407073403;Ek
Spi_B_3;Spi;1,0;186,1000627214846;Ek
Spi_B_4;Spi;10,0;318,9206420784860;Ek
Spi_B_5;Spi;100,0;223,6662882394729;Ek
Spi_B_6;Spi;0,0;366,9995505740426;Ek
Spi_B_7;Spi;0,1;214,2451629308695;Ek
Spi_B_8;Spi;1,0;263,4983418589693;Ek
Spi_B_9;Spi;10,0;253,4291628863151;Ek
Spi_C_1;Spi;0,0;194,8122029214744;Ek
Spi_C_10;Spi;100,0;182,3899527042636;Ek
Spi_C_11;Spi;0,0;292,4250100760765;Ek
Spi_C_12;Spi;0,1;209,5447046635310;Ek
Spi_C_13;Spi;1,0;175,2658370490279;Ek
Spi_C_14;Spi;10,0;196,9887008457275;Ek
Spi_C_15;Spi;100,0;232,2605684525578;Ek
Spi_C_2;Spi;0,1;296,0881376708934;Ek
Spi_C_3;Spi;1,0;182,1563849764792;Ek
Spi_C_4;Spi;10,0;215,1513559180775;Ek
Spi_C_5;Spi;100,0;219,0279815202306;Ek
Spi_C_6;Spi;0,0;201,1573837077826;Ek
Spi_C_7;Spi;0,1;169,1447773926218;Ek
Spi_C_8;Spi;1,0;179,3015507913041;Ek
Spi_C_9;Spi;10,0;247,9343137797109;Ek
Spi_D_1;Spi;0,0;279,3987893248910;Ek
Spi_D_10;Spi;100,0;96,1891414610179;Ek
Spi_D_11;Spi;0,0;263,9565101192262;Ek
Spi_D_12;Spi;0,1;246,1148568703604;Ek
Spi_D_13;Spi;1,0;303,2938058057716;Ek
Spi_D_14;Spi;10,0;216,2379754780679;Ek
Spi_D_15;Spi;100,0;363,8255385222113;Ek
Spi_D_2;Spi;0,1;277,9223628908589;Ek
Spi_D_3;Spi;1,0;138,0484569610865;Ek
Spi_D_4;Spi;10,0;207,2581931659601;Ek
Spi_D_5;Spi;100,0;355,4584317317764;Ek
Spi_D_6;Spi;0,0;175,2801531525359;Ek
Spi_D_7;Spi;0,1;149,6272083009986;Ek
Spi_D_8;Spi;1,0;336,3456388279017;Ek
Spi_D_9;Spi;10,0;229,3910468440981;Ek
Spi_E_1;Spi;0,0;374,5653499606479;Ek
Spi_E_10;Spi;100,0;285,9845765855765;Ek
Spi_E_11;Spi;0,0;318,4266800176044;Ek
Spi_E_12;Spi;0,1;266,0342340867846;Ek
Spi_E_13;Spi;1,0;280,2960116595886;Ek
Spi_E_14;Spi;10,0;258,3477106094434;Ek
Spi_E_15;Spi;100,0;241,4374805934184;Ek
Spi_E_2;Spi;0,1;210,1047358457189;Ek
Spi_E_3;Spi;1,0;313,7633469280607;Ek
Spi_E_4;Spi;10,0;282,4748261438141;Ek
Spi_E_5;Spi;100,0;438,4514199887926;Ek
Spi_E_6;Spi;0,0;319,1958148187138;Ek
Spi_E_7;Spi;0,1;227,8753424054042;Ek
Spi_E_8;Spi;1,0;282,4991494051412;Ek
Spi_E_9;Spi;10,0;292,4900779109995;Ek
Spi_F_1;Spi;0,0;403,0576233011866;Ek
