ID;spec;conc;value;parameter
Pve_A_1;Pve;0,0;106,0034305317324;YII
Pve_A_10;Pve;100,0;99,5370370370370;YII
Pve_A_11;Pve;0,0;96,9205834683954;YII
Pve_A_12;Pve;0,1;96,5256797583082;YII
Pve_A_13;Pve;1,0;96,5571205007825;YII
Pve_A_14;Pve;10,0;113,2246376811594;YII
Pve_A_15;Pve;100,0;106,6901408450704;YII
Pve_A_2;Pve;0,1;102,2801302931596;YII
Pve_A_3;Pve;1,0;102,5356576862124;YII
Pve_A_4;Pve;10,0;97,0404984423676;YII
Pve_A_5;Pve;100,0;107,2916666666667;YII
Pve_A_6;Pve;0,0;96,4992389649924;YII
Pve_A_7;Pve;0,1;91,7647058823529;YII
Pve_A_8;Pve;1,0;105,8020477815700;YII
Pve_A_9;Pve;10,0;107,0085470085470;YII
Pve_B_1;Pve;0,0;97,7134146341463;YII
Pve_B_10;Pve;100,0;105,1118210862620;YII
Pve_B_11;Pve;0,0;96,6917293233083;YII
Pve_B_12;Pve;0,1;99,3836671802774;YII
Pve_B_13;Pve;1,0;102,1538461538462;YII
Pve_B_14;Pve;10,0;124,0000000000000;YII
Pve_B_15;Pve;100,0;117,3913043478261;YII
Pve_B_2;Pve;0,1;105,9677419354839;YII
Pve_B_3;Pve;1,0;100,4601226993865;YII
Pve_B_4;Pve;10,0;98,7635239567233;YII
Pve_B_5;Pve;100,0;105,7877813504823;YII
Pve_B_6;Pve;0,0;97,4436090225564;YII
Pve_B_7;Pve;0,1;96,0118168389956;YII
Pve_B_8;Pve;1,0;106,1461794019934;YII
Pve_B_9;Pve;10,0;103,7288135593220;YII
Pve_C_1;Pve;0,0;102,8301886792453;YII
Pve_C_10;Pve;100,0;108,5427135678392;YII
Pve_C_11;Pve;0,0;100,8143322475570;YII
Pve_C_12;Pve;0,1;96,3581183611533;YII
Pve_C_13;Pve;1,0;100,6250000000000;YII
Pve_C_14;Pve;10,0;108,8628762541806;YII
Pve_C_15;Pve;100,0;108,6058519793460;YII
Pve_C_2;Pve;0,1;102,2801302931596;YII
Pve_C_3;Pve;1,0;103,3653846153846;YII
Pve_C_4;Pve;10,0;90,2515723270440;YII
Pve_C_5;Pve;100,0;99,5024875621891;YII
Pve_C_6;Pve;0,0;100,0000000000000;YII
Pve_C_7;Pve;0,1;89,7209985315712;YII
Pve_C_8;Pve;1,0;105,6122448979592;YII
Pve_C_9;Pve;10,0;107,1547420965058;YII
Pve_D_1;Pve;0,0;104,5375218150087;YII
Pve_D_10;Pve;100,0;103,9215686274510;YII
Pve_D_11;Pve;0,0;106,1705989110708;YII
Pve_D_12;Pve;0,1;108,2733812949640;YII
Pve_D_13;Pve;1,0;103,6269430051813;YII
Pve_D_14;Pve;10,0;111,6696588868941;YII
Pve_D_15;Pve;100,0;105,1693404634581;YII
Pve_D_2;Pve;0,1;101,5437392795883;YII
Pve_D_3;Pve;1,0;104,2881646655232;YII
Pve_D_4;Pve;10,0;104,4404973357016;YII
Pve_D_5;Pve;100,0;102,3931623931624;YII
Pve_D_6;Pve;0,0;110,2189781021898;YII
Pve_D_7;Pve;0,1;99,0115321252059;YII
Pve_D_8;Pve;1,0;117,2211350293542;YII
Pve_D_9;Pve;10,0;109,8540145985401;YII
Pve_E_1;Pve;0,0;98,1907894736842;YII
Pve_E_10;Pve;100,0;96,8051118210863;YII
Pve_E_11;Pve;0,0;98,2964224872232;YII
Pve_E_12;Pve;0,1;91,5702479338843;YII
Pve_E_13;Pve;1,0;103,7156704361874;YII
Pve_E_14;Pve;10,0;108,8435374149660;YII
Pve_E_15;Pve;100,0;103,9669421487603;YII
Pve_E_2;Pve;0,1;93,1547619047619;YII
Pve_E_3;Pve;1,0;100,3502626970228;YII
Pve_E_4;Pve;10,0;97,5116640746501;YII
Pve_E_5;Pve;100,0;103,9867109634552;YII
Pve_E_6;Pve;0,0;100,0000000000000;YII
Pve_E_7;Pve;0,1;93,2452276064611;YII
Pve_E_8;Pve;1,0;103,3653846153846;YII
Pve_E_9;Pve;10,0;99,3730407523511;YII
Pve_F_1;Pve;0,0;104,5375218150087;YII
Pve_F_10;Pve;100,0;105,6338028169014;YII
Pve_F_11;Pve;0,0;102,4253731343284;YII
Pve_F_12;Pve;0,1;109,2592592592592;YII
Pve_F_13;Pve;1,0;103,4423407917384;YII
Pve_F_14;Pve;10,0;104,0852575488455;YII
Pve_F_15;Pve;100,0;107,2332730560579;YII
Pve_F_2;Pve;0,1;101,9130434782609;YII
Pve_F_3;Pve;1,0;104,2589437819421;YII
Pve_F_4;Pve;10,0;101,7391304347826;YII
Pve_F_5;Pve;100,0;103,6429872495446;YII
Pve_F_6;Pve;0,0;108,7344028520499;YII
Pve_F_7;Pve;0,1;98,9726027397260;YII
Pve_F_8;Pve;1,0;103,8938053097345;YII
Pve_F_9;Pve;10,0;105,6994818652850;YII
Spi_A_1;Spi;0,0;101,7064846416382;YII
Spi_A_10;Spi;100,0;105,7866184448463;YII
Spi_A_11;Spi;0,0;109,6045197740113;YII
Spi_A_12;Spi;0,1;112,9213483146067;YII
Spi_A_13;Spi;1,0;103,8181818181818;YII
Spi_A_14;Spi;10,0;126,1146496815287;YII
Spi_A_15;Spi;100,0;110,0934579439252;YII
Spi_A_2;Spi;0,1;97,7853492333901;YII
Spi_A_3;Spi;1,0;105,0699300699301;YII
Spi_A_4;Spi;10,0;94,7841726618705;YII
Spi_A_5;Spi;100,0;111,7307692307692;YII
Spi_A_6;Spi;0,0;100,8620689655172;YII
Spi_A_7;Spi;0,1;102,6362038664324;YII
Spi_A_8;Spi;1,0;102,0761245674740;YII
Spi_A_9;Spi;10,0;127,9411764705882;YII
Spi_B_1;Spi;0,0;109,0000000000000;YII
Spi_B_10;Spi;100,0;113,3099824868652;YII
Spi_B_11;Spi;0,0;103,0821917808219;YII
Spi_B_12;Spi;0,1;108,6294416243655;YII
Spi_B_13;Spi;1,0;103,4941763727121;YII
Spi_B_14;Spi;10,0;114,9722735674676;YII
Spi_B_15;Spi;100,0;105,7239057239057;YII
Spi_B_2;Spi;0,1;97,7086743044190;YII
Spi_B_3;Spi;1,0;100,9933774834437;YII
Spi_B_4;Spi;10,0;107,9928952042629;YII
Spi_B_5;Spi;100,0;106,8965517241379;YII
Spi_B_6;Spi;0,0;106,9020866773676;YII
Spi_B_7;Spi;0,1;108,9655172413793;YII
Spi_B_8;Spi;1,0;106,1666666666667;YII
Spi_B_9;Spi;10,0;114,6520146520146;YII
Spi_C_1;Spi;0,0;110,5348460291734;YII
Spi_C_10;Spi;100,0;104,3918918918919;YII
Spi_C_11;Spi;0,0;114,3925233644860;YII
Spi_C_12;Spi;0,1;109,1222030981067;YII
Spi_C_13;Spi;1,0;104,7781569965870;YII
Spi_C_14;Spi;10,0;119,3245778611632;YII
Spi_C_15;Spi;100,0;107,0811744386874;YII
Spi_C_2;Spi;0,1;94,4012441679627;YII
Spi_C_3;Spi;1,0;106,4039408866995;YII
Spi_C_4;Spi;10,0;105,9233449477352;YII
Spi_C_5;Spi;100,0;110,4991394148021;YII
Spi_C_6;Spi;0,0;103,7216828478964;YII
Spi_C_7;Spi;0,1;108,2101806239737;YII
Spi_C_8;Spi;1,0;115,0807899461400;YII
Spi_C_9;Spi;10,0;109,7770154373928;YII
Spi_D_1;Spi;0,0;98,9708404802744;YII
Spi_D_10;Spi;100,0;94,7775628626692;YII
