ID;spec;conc;value;parameter
Pve_A_1;Pve;0,0;0,579357632572358;alpha
Pve_A_10;Pve;100,0;0,630432563722084;alpha
Pve_A_11;Pve;0,0;0,601607741743840;alpha
Pve_A_12;Pve;0,1;0,590257003965094;alpha
Pve_A_13;Pve;1,0;0,600276362074926;alpha
Pve_A_14;Pve;10,0;0,544494253251649;alpha
Pve_A_15;Pve;100,0;0,623024990301617;alpha
Pve_A_2;Pve;0,1;0,644220664473681;alpha
Pve_A_3;Pve;1,0;0,541810422291370;alpha
Pve_A_4;Pve;10,0;0,615204171378364;alpha
Pve_A_5;Pve;100,0;0,527680307486062;alpha
Pve_A_6;Pve;0,0;0,637063552340123;alpha
Pve_A_7;Pve;0,1;0,542934368156484;alpha
Pve_A_8;Pve;1,0;0,563756337762748;alpha
Pve_A_9;Pve;10,0;0,585183884633403;alpha
Pve_B_1;Pve;0,0;0,574053795839106;alpha
Pve_B_10;Pve;100,0;0,648739775212132;alpha
Pve_B_11;Pve;0,0;0,628569743494319;alpha
Pve_B_12;Pve;0,1;0,643779926014209;alpha
Pve_B_13;Pve;1,0;0,584040161368356;alpha
Pve_B_14;Pve;10,0;0,541704098617697;alpha
Pve_B_15;Pve;100,0;0,584321926477895;alpha
Pve_B_2;Pve;0,1;0,567629277102424;alpha
Pve_B_3;Pve;1,0;0,577567846757425;alpha
Pve_B_4;Pve;10,0;0,620146949929791;alpha
Pve_B_5;Pve;100,0;0,597217275482962;alpha
Pve_B_6;Pve;0,0;0,616627870844307;alpha
Pve_B_7;Pve;0,1;0,562094694936824;alpha
Pve_B_8;Pve;1,0;0,648540566618385;alpha
Pve_B_9;Pve;10,0;0,633848012328393;alpha
Pve_C_1;Pve;0,0;0,550479391613958;alpha
Pve_C_10;Pve;100,0;0,532798200606903;alpha
Pve_C_11;Pve;0,0;0,491229689889504;alpha
Pve_C_12;Pve;0,1;0,621562042413854;alpha
Pve_C_13;Pve;1,0;0,580219820910691;alpha
Pve_C_14;Pve;10,0;0,600169118478151;alpha
Pve_C_15;Pve;100,0;0,549950342205504;alpha
Pve_C_2;Pve;0,1;0,540670886203851;alpha
Pve_C_3;Pve;1,0;0,586162933629815;alpha
Pve_C_4;Pve;10,0;0,568377079419909;alpha
Pve_C_5;Pve;100,0;0,624545546628144;alpha
Pve_C_6;Pve;0,0;0,568895075851003;alpha
Pve_C_7;Pve;0,1;0,614270729002162;alpha
Pve_C_8;Pve;1,0;0,543989499489101;alpha
Pve_C_9;Pve;10,0;0,535382592129452;alpha
Pve_D_1;Pve;0,0;0,616206621568867;alpha
Pve_D_10;Pve;100,0;0,608318185717272;alpha
Pve_D_11;Pve;0,0;0,580480856909611;alpha
Pve_D_12;Pve;0,1;0,487021105833432;alpha
Pve_D_13;Pve;1,0;0,521608803939154;alpha
Pve_D_14;Pve;10,0;0,548185376880044;alpha
Pve_D_15;Pve;100,0;0,491093024222577;alpha
Pve_D_2;Pve;0,1;0,567967132229356;alpha
Pve_D_3;Pve;1,0;0,486352245177401;alpha
Pve_D_4;Pve;10,0;0,560398788717149;alpha
Pve_D_5;Pve;100,0;0,544706020966896;alpha
Pve_D_6;Pve;0,0;0,603832481577182;alpha
Pve_D_7;Pve;0,1;0,600669578855020;alpha
Pve_D_8;Pve;1,0;0,585163882822133;alpha
Pve_D_9;Pve;10,0;0,549301854768125;alpha
Pve_E_1;Pve;0,0;0,459555913973566;alpha
Pve_E_10;Pve;100,0;0,608621816131734;alpha
Pve_E_11;Pve;0,0;0,525391632966449;alpha
Pve_E_12;Pve;0,1;0,471359403086442;alpha
Pve_E_13;Pve;1,0;0,517921859862390;alpha
Pve_E_14;Pve;10,0;0,696454646089872;alpha
Pve_E_15;Pve;100,0;0,589097430256143;alpha
Pve_E_2;Pve;0,1;0,615510649070355;alpha
Pve_E_3;Pve;1,0;0,584323707524250;alpha
Pve_E_4;Pve;10,0;0,603820897886149;alpha
Pve_E_5;Pve;100,0;0,587036125447068;alpha
Pve_E_6;Pve;0,0;0,674291051627875;alpha
Pve_E_7;Pve;0,1;0,597876698008774;alpha
Pve_E_8;Pve;1,0;0,584855782186468;alpha
Pve_E_9;Pve;10,0;0,587179331289101;alpha
Pve_F_1;Pve;0,0;0,529160611339834;alpha
Pve_F_10;Pve;100,0;0,566924941606168;alpha
