ID;spec;conc;value;parameter
Pve_A_1;Pve;0,0;48,66874852126341;calcification
Pve_A_10;Pve;100,0;127,24888982616082;calcification
Pve_A_11;Pve;0,0;74,11556048336203;calcification
Pve_A_12;Pve;0,1;130,73084680327167;calcification
Pve_A_13;Pve;1,0;105,34968277242002;calcification
Pve_A_14;Pve;10,0;89,88130728172088;calcification
Pve_A_15;Pve;100,0;95,04568385669921;calcification
Pve_A_2;Pve;0,1;50,42630887353349;calcification
Pve_A_3;Pve;1,0;53,55805887657197;calcification
Pve_A_4;Pve;10,0;90,08179894434784;calcification
Pve_A_5;Pve;100,0;62,56601167477866;calcification
Pve_A_6;Pve;0,0;86,51053349578393;calcification
Pve_A_7;Pve;0,1;61,97616875947119;calcification
Pve_A_8;Pve;1,0;109,29486824348241;calcification
Pve_A_9;Pve;10,0;94,48061164948327;calcification
Pve_B_1;Pve;0,0;122,20931686764800;calcification
Pve_B_10;Pve;100,0;57,69075739545362;calcification
Pve_B_11;Pve;0,0;96,50235264467565;calcification
Pve_B_12;Pve;0,1;102,68767713375857;calcification
Pve_B_13;Pve;1,0;100,88971865494220;calcification
Pve_B_14;Pve;10,0;78,38833648175056;calcification
Pve_B_15;Pve;100,0;57,06185993527100;calcification
Pve_B_2;Pve;0,1;70,47487448196514;calcification
Pve_B_3;Pve;1,0;76,90156849668989;calcification
Pve_B_4;Pve;10,0;114,01610840426592;calcification
Pve_B_5;Pve;100,0;89,54247136294042;calcification
Pve_B_6;Pve;0,0;87,53061511280208;calcification
Pve_B_7;Pve;0,1;87,06615715491556;calcification
Pve_B_8;Pve;1,0;109,61695371782567;calcification
Pve_B_9;Pve;10,0;134,84812021055643;calcification
Pve_C_1;Pve;0,0;101,51440639132025;calcification
Pve_C_10;Pve;100,0;72,23408116430136;calcification
Pve_C_11;Pve;0,0;90,28998054461864;calcification
Pve_C_12;Pve;0,1;107,18621003090419;calcification
Pve_C_13;Pve;1,0;130,64168952770532;calcification
Pve_C_14;Pve;10,0;114,51763123499410;calcification
Pve_C_15;Pve;100,0;112,84759704658823;calcification
Pve_C_2;Pve;0,1;158,20064816956057;calcification
Pve_C_3;Pve;1,0;128,64907400423718;calcification
Pve_C_4;Pve;10,0;155,43573755696835;calcification
Pve_C_5;Pve;100,0;84,51227022748759;calcification
Pve_C_6;Pve;0,0;140,55734432685728;calcification
Pve_C_7;Pve;0,1;121,25267981412875;calcification
Pve_C_8;Pve;1,0;134,79061329238633;calcification
Pve_C_9;Pve;10,0;164,96598182079998;calcification
Pve_D_1;Pve;0,0;108,38545428788191;calcification
Pve_D_10;Pve;100,0;95,30950746321606;calcification
Pve_D_11;Pve;0,0;21,81835064991809;calcification
Pve_D_12;Pve;0,1;72,70128219963915;calcification
Pve_D_13;Pve;1,0;54,63318664663490;calcification
Pve_D_14;Pve;10,0;82,48720877070548;calcification
Pve_D_15;Pve;100,0;22,63630771990161;calcification
Pve_D_2;Pve;0,1;73,86757351333583;calcification
Pve_D_3;Pve;1,0;87,48054105463989;calcification
Pve_D_4;Pve;10,0;85,51925201924833;calcification
Pve_D_5;Pve;100,0;52,74670915587652;calcification
Pve_D_6;Pve;0,0;98,51649309457142;calcification
Pve_D_7;Pve;0,1;111,07980732440160;calcification
Pve_D_8;Pve;1,0;135,70051294098690;calcification
Pve_D_9;Pve;10,0;128,17675902775113;calcification
Pve_E_1;Pve;0,0;63,92811926840950;calcification
Pve_E_10;Pve;100,0;93,85568805663004;calcification
Pve_E_11;Pve;0,0;11,97858857888209;calcification
Pve_E_12;Pve;0,1;64,53999998428770;calcification
Pve_E_13;Pve;1,0;108,33914594580358;calcification
Pve_E_14;Pve;10,0;84,18803550364451;calcification
Pve_E_15;Pve;100,0;19,12728734506659;calcification
Pve_E_2;Pve;0,1;56,57248540058096;calcification
Pve_E_3;Pve;1,0;31,44883229928118;calcification
Pve_E_4;Pve;10,0;44,72733844337074;calcification
Pve_E_5;Pve;100,0;99,31959919360148;calcification
Pve_E_6;Pve;0,0;130,66405692147367;calcification
Pve_E_7;Pve;0,1;56,80833848292539;calcification
Pve_E_8;Pve;1,0;100,32611206783761;calcification
Pve_E_9;Pve;10,0;72,43987684139252;calcification
Pve_F_1;Pve;0,0;83,13053273493591;calcification
Pve_F_10;Pve;100,0;28,60212179303107;calcification
Pve_F_11;Pve;0,0;60,95248852915610;calcification
Pve_F_12;Pve;0,1;73,95866998317028;calcification
Pve_F_13;Pve;1,0;45,38899149602148;calcification
Pve_F_14;Pve;10,0;15,84584000423899;calcification
Pve_F_15;Pve;100,0;15,76492221515612;calcification
Pve_F_2;Pve;0,1;50,83322040944275;calcification
Pve_F_3;Pve;1,0;49,22978651064309;calcification
Pve_F_4;Pve;10,0;70,94922725901144;calcification
Pve_F_5;Pve;100,0;38,27871243482479;calcification
Pve_F_6;Pve;0,0;55,42802484284535;calcification
Pve_F_7;Pve;0,1;70,36824282830696;calcification
Pve_F_8;Pve;1,0;49,38319469436838;calcification
Pve_F_9;Pve;10,0;45,22747465730505;calcification
Spi_A_1;Spi;0,0;92,22498166051298;calcification
Spi_A_10;Spi;100,0;75,43043690108175;calcification
Spi_A_11;Spi;0,0;91,23091910237993;calcification
Spi_A_12;Spi;0,1;85,25904615857687;calcification
Spi_A_13;Spi;1,0;99,49529022463230;calcification
Spi_A_14;Spi;10,0;116,94432279091259;calcification
Spi_A_15;Spi;100,0;47,19724836277553;calcification
