ID;spec;conc;value;parameter
Pve_A_1;Pve;0,0;0,888888888888889;polypactivity
Pve_A_10;Pve;100,0;0,777777777777778;polypactivity
Pve_A_11;Pve;0,0;0,944444444444444;polypactivity
Pve_A_12;Pve;0,1;1,000000000000000;polypactivity
Pve_A_13;Pve;1,0;0,833333333333333;polypactivity
Pve_A_14;Pve;10,0;0,833333333333333;polypactivity
Pve_A_15;Pve;100,0;0,555555555555556;polypactivity
Pve_A_2;Pve;0,1;0,833333333333333;polypactivity
Pve_A_3;Pve;1,0;0,777777777777778;polypactivity
Pve_A_4;Pve;10,0;0,722222222222222;polypactivity
Pve_A_5;Pve;100,0;0,500000000000000;polypactivity
Pve_A_6;Pve;0,0;1,000000000000000;polypactivity
Pve_A_7;Pve;0,1;1,000000000000000;polypactivity
Pve_A_8;Pve;1,0;0,777777777777778;polypactivity
Pve_A_9;Pve;10,0;0,888888888888889;polypactivity
Pve_B_1;Pve;0,0;0,611111111111111;polypactivity
Pve_B_10;Pve;100,0;0,500000000000000;polypactivity
Pve_B_11;Pve;0,0;0,722222222222222;polypactivity
Pve_B_12;Pve;0,1;0,611111111111111;polypactivity
Pve_B_13;Pve;1,0;0,722222222222222;polypactivity
Pve_B_14;Pve;10,0;0,722222222222222;polypactivity
Pve_B_15;Pve;100,0;0,555555555555556;polypactivity
Pve_B_2;Pve;0,1;0,666666666666667;polypactivity
Pve_B_3;Pve;1,0;0,555555555555556;polypactivity
Pve_B_4;Pve;10,0;0,500000000000000;polypactivity
Pve_B_5;Pve;100,0;0,444444444444444;polypactivity
Pve_B_6;Pve;0,0;0,722222222222222;polypactivity
Pve_B_7;Pve;0,1;1,000000000000000;polypactivity
Pve_B_8;Pve;1,0;0,611111111111111;polypactivity
Pve_B_9;Pve;10,0;0,777777777777778;polypactivity
Pve_C_1;Pve;0,0;0,888888888888889;polypactivity
Pve_C_10;Pve;100,0;0,777777777777778;polypactivity
Pve_C_11;Pve;0,0;0,722222222222222;polypactivity
Pve_C_12;Pve;0,1;0,944444444444444;polypactivity
Pve_C_13;Pve;1,0;0,888888888888889;polypactivity
Pve_C_14;Pve;10,0;0,944444444444444;polypactivity
Pve_C_15;Pve;100,0;0,722222222222222;polypactivity
Pve_C_2;Pve;0,1;0,944444444444444;polypactivity
Pve_C_3;Pve;1,0;0,833333333333333;polypactivity
Pve_C_4;Pve;10,0;0,666666666666667;polypactivity
Pve_C_5;Pve;100,0;0,666666666666667;polypactivity
Pve_C_6;Pve;0,0;1,000000000000000;polypactivity
Pve_C_7;Pve;0,1;1,000000000000000;polypactivity
Pve_C_8;Pve;1,0;0,944444444444444;polypactivity
Pve_C_9;Pve;10,0;0,888888888888889;polypactivity
Pve_D_1;Pve;0,0;0,944444444444444;polypactivity
Pve_D_10;Pve;100,0;0,944444444444444;polypactivity
Pve_D_11;Pve;0,0;0,944444444444444;polypactivity
Pve_D_12;Pve;0,1;1,000000000000000;polypactivity
Pve_D_13;Pve;1,0;0,833333333333333;polypactivity
Pve_D_14;Pve;10,0;0,944444444444444;polypactivity
Pve_D_15;Pve;100,0;0,777777777777778;polypactivity
Pve_D_2;Pve;0,1;0,944444444444444;polypactivity
Pve_D_3;Pve;1,0;0,944444444444444;polypactivity
Pve_D_4;Pve;10,0;0,944444444444444;polypactivity
Pve_D_5;Pve;100,0;0,611111111111111;polypactivity
Pve_D_6;Pve;0,0;1,000000000000000;polypactivity
Pve_D_7;Pve;0,1;1,000000000000000;polypactivity
Pve_D_8;Pve;1,0;1,000000000000000;polypactivity
Pve_D_9;Pve;10,0;1,000000000000000;polypactivity
Pve_E_1;Pve;0,0;0,611111111111111;polypactivity
Pve_E_10;Pve;100,0;0,722222222222222;polypactivity
Pve_E_11;Pve;0,0;0,777777777777778;polypactivity
Pve_E_12;Pve;0,1;0,888888888888889;polypactivity
Pve_E_13;Pve;1,0;0,833333333333333;polypactivity
Pve_E_14;Pve;10,0;0,722222222222222;polypactivity
Pve_E_15;Pve;100,0;0,555555555555556;polypactivity
Pve_E_2;Pve;0,1;0,833333333333333;polypactivity
Pve_E_3;Pve;1,0;0,722222222222222;polypactivity
Pve_E_4;Pve;10,0;0,666666666666667;polypactivity
Pve_E_5;Pve;100,0;0,500000000000000;polypactivity
Pve_E_6;Pve;0,0;1,000000000000000;polypactivity
Pve_E_7;Pve;0,1;1,000000000000000;polypactivity
Pve_E_8;Pve;1,0;0,833333333333333;polypactivity
Pve_E_9;Pve;10,0;0,888888888888889;polypactivity
Pve_F_1;Pve;0,0;0,944444444444444;polypactivity
Pve_F_10;Pve;100,0;0,555555555555556;polypactivity
Pve_F_11;Pve;0,0;0,833333333333333;polypactivity
Pve_F_12;Pve;0,1;0,888888888888889;polypactivity
Pve_F_13;Pve;1,0;0,666666666666667;polypactivity
Pve_F_14;Pve;10,0;0,388888888888889;polypactivity
Pve_F_15;Pve;100,0;0,333333333333333;polypactivity
Pve_F_2;Pve;0,1;0,888888888888889;polypactivity
Pve_F_3;Pve;1,0;0,888888888888889;polypactivity
Pve_F_4;Pve;10,0;0,666666666666667;polypactivity
Pve_F_5;Pve;100,0;0,166666666666667;polypactivity
Pve_F_6;Pve;0,0;1,000000000000000;polypactivity
Pve_F_7;Pve;0,1;0,944444444444444;polypactivity
Pve_F_8;Pve;1,0;0,833333333333333;polypactivity
