ID;spec;conc;value;parameter
Pve_A_1;Pve;0,0;128,1217939334216;rETRmax
Pve_A_10;Pve;100,0;193,7428440811376;rETRmax
Pve_A_11;Pve;0,0;158,0473880312300;rETRmax
Pve_A_12;Pve;0,1;150,4953835930752;rETRmax
Pve_A_13;Pve;1,0;202,6013223961638;rETRmax
Pve_A_14;Pve;10,0;192,5345436170353;rETRmax
Pve_A_15;Pve;100,0;183,3319861955285;rETRmax
Pve_A_2;Pve;0,1;204,6550925726049;rETRmax
Pve_A_3;Pve;1,0;115,0647021264625;rETRmax
Pve_A_4;Pve;10,0;164,2962075738619;rETRmax
Pve_A_5;Pve;100,0;87,9684629230669;rETRmax
Pve_A_6;Pve;0,0;219,5062108811855;rETRmax
Pve_A_7;Pve;0,1;173,8033873904853;rETRmax
Pve_A_8;Pve;1,0;182,5026584296932;rETRmax
Pve_A_9;Pve;10,0;168,6815286407191;rETRmax
Pve_B_1;Pve;0,0;158,8617035339313;rETRmax
Pve_B_10;Pve;100,0;177,4539771773616;rETRmax
Pve_B_11;Pve;0,0;169,6714274289461;rETRmax
Pve_B_12;Pve;0,1;165,0297003703149;rETRmax
Pve_B_13;Pve;1,0;229,3047048354740;rETRmax
Pve_B_14;Pve;10,0;82,1546443020612;rETRmax
Pve_B_15;Pve;100,0;158,5062843361489;rETRmax
Pve_B_2;Pve;0,1;135,6126179934371;rETRmax
Pve_B_3;Pve;1,0;98,4001755402289;rETRmax
Pve_B_4;Pve;10,0;219,0798530373241;rETRmax
Pve_B_5;Pve;100,0;165,2887627212202;rETRmax
Pve_B_6;Pve;0,0;194,2381794924684;rETRmax
Pve_B_7;Pve;0,1;90,6664224497715;rETRmax
Pve_B_8;Pve;1,0;212,7305794931502;rETRmax
Pve_B_9;Pve;10,0;179,2398522662871;rETRmax
Pve_C_1;Pve;0,0;110,1143653677687;rETRmax
Pve_C_10;Pve;100,0;95,5291722517217;rETRmax
Pve_C_11;Pve;0,0;94,9463739400784;rETRmax
Pve_C_12;Pve;0,1;201,8022842140448;rETRmax
Pve_C_13;Pve;1,0;191,2194786080410;rETRmax
Pve_C_14;Pve;10,0;130,6857279980352;rETRmax
Pve_C_15;Pve;100,0;92,2883332850657;rETRmax
Pve_C_2;Pve;0,1;96,3746825042282;rETRmax
Pve_C_3;Pve;1,0;102,7990206358120;rETRmax
Pve_C_4;Pve;10,0;173,6078895100027;rETRmax
Pve_C_5;Pve;100,0;121,4163427313257;rETRmax
Pve_C_6;Pve;0,0;188,0442408948977;rETRmax
