ID;spec;conc;value;parameter
Pve_A_1;Pve;0,0;12,062773912275201;surface
Pve_A_10;Pve;100,0;10,950087078990734;surface
Pve_A_11;Pve;0,0;18,324637696497938;surface
Pve_A_12;Pve;0,1;33,058529034660452;surface
Pve_A_13;Pve;1,0;31,182751720421461;surface
Pve_A_14;Pve;10,0;15,907820525332644;surface
Pve_A_15;Pve;100,0;25,028697845601780;surface
Pve_A_2;Pve;0,1;9,578637941349346;surface
Pve_A_3;Pve;1,0;5,420393443970937;surface
Pve_A_4;Pve;10,0;15,014269309121843;surface
Pve_A_5;Pve;100,0;4,645355392962694;surface
Pve_A_6;Pve;0,0;21,357459095168274;surface
Pve_A_7;Pve;0,1;13,332546148187458;surface
Pve_A_8;Pve;1,0;32,667918439475301;surface
Pve_A_9;Pve;10,0;22,120338062002659;surface
Pve_B_1;Pve;0,0;51,684696824018083;surface
Pve_B_10;Pve;100,0;20,435004147108167;surface
Pve_B_11;Pve;0,0;43,552148428465756;surface
Pve_B_12;Pve;0,1;42,933694954403521;surface
Pve_B_13;Pve;1,0;44,776665521931406;surface
Pve_B_14;Pve;10,0;26,085288859871739;surface
Pve_B_15;Pve;100,0;12,583497328145175;surface
Pve_B_2;Pve;0,1;27,722956280752960;surface
Pve_B_3;Pve;1,0;26,841701186993919;surface
Pve_B_4;Pve;10,0;44,286099771130274;surface
Pve_B_5;Pve;100,0;38,332452746584636;surface
Pve_B_6;Pve;0,0;50,241461134649846;surface
Pve_B_7;Pve;0,1;42,114972903190697;surface
Pve_B_8;Pve;1,0;54,630416004297160;surface
Pve_B_9;Pve;10,0;64,747173563202580;surface
Pve_C_1;Pve;0,0;19,287558706110303;surface
Pve_C_10;Pve;100,0;10,242153277501062;surface
Pve_C_11;Pve;0,0;16,461126688512515;surface
Pve_C_12;Pve;0,1;19,783934567723392;surface
Pve_C_13;Pve;1,0;23,179033431944330;surface
Pve_C_14;Pve;10,0;18,753569711704451;surface
Pve_C_15;Pve;100,0;16,551010867361867;surface
Pve_C_2;Pve;0,1;38,898760702706525;surface
Pve_C_3;Pve;1,0;16,606265677403414;surface
Pve_C_4;Pve;10,0;53,192704873052335;surface
Pve_C_5;Pve;100,0;10,004209506612549;surface
Pve_C_6;Pve;0,0;40,495958393785813;surface
Pve_C_7;Pve;0,1;33,825544700237892;surface
Pve_C_8;Pve;1,0;36,852331368612710;surface
Pve_C_9;Pve;10,0;41,757475110675273;surface
Pve_D_1;Pve;0,0;63,871981578611795;surface
Pve_D_10;Pve;100,0;53,286370232787640;surface
Pve_D_11;Pve;0,0;5,159692047305190;surface
Pve_D_12;Pve;0,1;35,741942971461924;surface
Pve_D_13;Pve;1,0;19,877980900454830;surface
Pve_D_14;Pve;10,0;41,613908087389873;surface
Pve_D_15;Pve;100,0;-1,317001758162198;surface
Pve_D_2;Pve;0,1;50,147525556257207;surface
Pve_D_3;Pve;1,0;67,927241410350717;surface
Pve_D_4;Pve;10,0;60,815321111046465;surface
Pve_D_5;Pve;100,0;20,152001688455556;surface
Pve_D_6;Pve;0,0;88,791210958813480;surface
Pve_D_7;Pve;0,1;78,413940122956404;surface
Pve_D_8;Pve;1,0;96,149895121170488;surface
Pve_D_9;Pve;10,0;74,865416340341696;surface
Pve_E_1;Pve;0,0;28,175920098880674;surface
Pve_E_10;Pve;100,0;46,663301165452054;surface
Pve_E_11;Pve;0,0;-18,736158286447044;surface
Pve_E_12;Pve;0,1;29,750450532662146;surface
Pve_E_13;Pve;1,0;47,733118882090750;surface
Pve_E_14;Pve;10,0;22,991051976163511;surface
Pve_E_15;Pve;100,0;8,599624662589003;surface
Pve_E_2;Pve;0,1;21,317968086335554;surface
Pve_E_3;Pve;1,0;4,056454914482025;surface
Pve_E_4;Pve;10,0;18,057111027647224;surface
Pve_E_5;Pve;100,0;20,560785596459397;surface
Pve_E_6;Pve;0,0;63,604176532558597;surface
Pve_E_7;Pve;0,1;35,023262470630492;surface
Pve_E_8;Pve;1,0;55,903942010469237;surface
Pve_E_9;Pve;10,0;29,611619553642203;surface
Pve_F_1;Pve;0,0;61,417309336959839;surface
Pve_F_10;Pve;100,0;5,011242522072452;surface
Pve_F_11;Pve;0,0;12,815288006526561;surface
Pve_F_12;Pve;0,1;43,028290146546048;surface
Pve_F_13;Pve;1,0;13,969811233356577;surface
Pve_F_14;Pve;10,0;-16,923588090631704;surface
Pve_F_15;Pve;100,0;-23,061206836121425;surface
Pve_F_2;Pve;0,1;38,817381839474251;surface
Pve_F_3;Pve;1,0;30,741222249667594;surface
Pve_F_4;Pve;10,0;64,649748660596458;surface
Pve_F_5;Pve;100,0;17,721539340699877;surface
Pve_F_6;Pve;0,0;34,537340133769547;surface
Pve_F_7;Pve;0,1;55,755896443978301;surface
Pve_F_8;Pve;1,0;17,858721714691811;surface
Pve_F_9;Pve;10,0;35,227041690186667;surface
Spi_A_1;Spi;0,0;50,456532588350427;surface
Spi_A_10;Spi;100,0;33,761119078704034;surface
Spi_A_11;Spi;0,0;45,522419194504970;surface
Spi_A_12;Spi;0,1;41,092657764841540;surface
Spi_A_13;Spi;1,0;54,095732869099805;surface
Spi_A_14;Spi;10,0;62,956438888078509;surface
Spi_A_15;Spi;100,0;26,195455094988279;surface
Spi_A_2;Spi;0,1;43,567325524631428;surface
Spi_A_3;Spi;1,0;42,719935334399793;surface
Spi_A_4;Spi;10,0;48,217362296429712;surface
Spi_A_5;Spi;100,0;36,131679541291142;surface
Spi_A_6;Spi;0,0;54,319379916886447;surface
Spi_A_7;Spi;0,1;55,026734031301096;surface
Spi_A_8;Spi;1,0;73,190733536770168;surface
Spi_A_9;Spi;10,0;45,682653617101096;surface
Spi_B_1;Spi;0,0;32,848276146452335;surface
Spi_B_10;Spi;100,0;22,381367247711459;surface
Spi_B_11;Spi;0,0;-46,367249484557725;surface
Spi_B_12;Spi;0,1;45,540976719522178;surface
Spi_B_13;Spi;1,0;32,995912832978917;surface
Spi_B_14;Spi;10,0;13,403384750659267;surface
Spi_B_15;Spi;100,0;13,656598469302905;surface
Spi_B_2;Spi;0,1;19,284800634793605;surface
Spi_B_3;Spi;1,0;25,397497462555275;surface
Spi_B_4;Spi;10,0;32,588559336149302;surface
Spi_B_5;Spi;100,0;20,287213597453633;surface
Spi_B_6;Spi;0,0;41,829091838687127;surface
Spi_B_7;Spi;0,1;44,823460116879609;surface
Spi_B_8;Spi;1,0;19,825373952124313;surface
Spi_B_9;Spi;10,0;37,215720458489777;surface
Spi_C_1;Spi;0,0;55,293423572788925;surface
Spi_C_10;Spi;100,0;41,921413106666606;surface
Spi_C_11;Spi;0,0;62,455295870378862;surface
Spi_C_12;Spi;0,1;62,335620725330152;surface
Spi_C_13;Spi;1,0;62,385589118758418;surface
Spi_C_14;Spi;10,0;77,819002945529064;surface
Spi_C_15;Spi;100,0;56,067301500669060;surface
Spi_C_2;Spi;0,1;73,537681964668081;surface
Spi_C_3;Spi;1,0;53,878695381255703;surface
Spi_C_4;Spi;10,0;81,427272623706102;surface
Spi_C_5;Spi;100,0;55,420277450171710;surface
Spi_C_6;Spi;0,0;69,445487896844980;surface
Spi_C_7;Spi;0,1;55,356814647008747;surface
Spi_C_8;Spi;1,0;63,580984013136252;surface
Spi_C_9;Spi;10,0;77,265163380848122;surface
Spi_D_1;Spi;0,0;1,427976350622072;surface
Spi_D_10;Spi;100,0;-99,346660704881629;surface
Spi_D_11;Spi;0,0;2,166392907352915;surface
Spi_D_12;Spi;0,1;5,650940190497317;surface
Spi_D_13;Spi;1,0;-18,450225027988324;surface
Spi_D_14;Spi;10,0;1,504598731762073;surface
Spi_D_15;Spi;100,0;-43,633723451185460;surface
Spi_D_2;Spi;0,1;-13,044493048286279;surface
Spi_D_3;Spi;1,0;-67,523889046370201;surface
Spi_D_4;Spi;10,0;0,817390545838077;surface
Spi_D_5;Spi;100,0;-42,984661190487401;surface
Spi_D_6;Spi;0,0;8,026938017951423;surface
Spi_D_7;Spi;0,1;-72,811610452791996;surface
Spi_D_8;Spi;1,0;11,052906225075589;surface
Spi_D_9;Spi;10,0;10,116487931162830;surface
Spi_E_1;Spi;0,0;44,503610681046979;surface
Spi_E_10;Spi;100,0;13,548389076517108;surface
Spi_E_11;Spi;0,0;92,600679783041912;surface
Spi_E_12;Spi;0,1;38,303715046758214;surface
Spi_E_13;Spi;1,0;43,404796604851718;surface
Spi_E_14;Spi;10,0;22,314052017131530;surface
Spi_E_15;Spi;100,0;30,121538448318212;surface
Spi_E_2;Spi;0,1;41,537913052588628;surface
Spi_E_3;Spi;1,0;26,063991800501160;surface
Spi_E_4;Spi;10,0;52,730530442383291;surface
Spi_E_5;Spi;100,0;17,100690681934783;surface
Spi_E_6;Spi;0,0;40,353293173270060;surface
Spi_E_7;Spi;0,1;37,997094926565758;surface
Spi_E_8;Spi;1,0;42,123573185248830;surface
Spi_E_9;Spi;10,0;35,707039897948569;surface
Spi_F_1;Spi;0,0;32,653505389518955;surface
Spi_F_10;Spi;100,0;17,129674843289553;surface
Spi_F_11;Spi;0,0;29,217272664765307;surface
Spi_F_12;Spi;0,1;35,561582881051997;surface
Spi_F_13;Spi;1,0;32,543862344289074;surface
Spi_F_14;Spi;10,0;35,614801816322199;surface
Spi_F_15;Spi;100,0;3,579718390349364;surface
Spi_F_2;Spi;0,1;38,045746092923928;surface
Spi_F_3;Spi;1,0;21,623332255220504;surface
Spi_F_4;Spi;10,0;32,091358714702743;surface
Spi_F_5;Spi;100,0;14,744637351827947;surface
Spi_F_6;Spi;0,0;1,012035240444231;surface
Spi_F_7;Spi;0,1;44,801066437522962;surface
Spi_F_8;Spi;1,0;40,017475579297255;surface
Spi_F_9;Spi;10,0;30,489830315307636;surface
