ID;spec;conc;value;parameter
Pve_A_1;Pve;0,0;2,00729688705479e-02;volume
Pve_A_10;Pve;100,0;4,18030071602944e-02;volume
Pve_A_11;Pve;0,0;3,53198958238356e-02;volume
Pve_A_12;Pve;0,1;7,42103669094665e-02;volume
Pve_A_13;Pve;1,0;5,42585609778699e-02;volume
Pve_A_14;Pve;10,0;4,44382515314634e-02;volume
Pve_A_15;Pve;100,0;5,02269275159134e-02;volume
Pve_A_2;Pve;0,1;2,07667180729004e-02;volume
Pve_A_3;Pve;1,0;2,24143313573001e-02;volume
Pve_A_4;Pve;10,0;4,42116878036806e-02;volume
Pve_A_5;Pve;100,0;1,91886159746066e-02;volume
Pve_A_6;Pve;0,0;5,70290025291276e-02;volume
Pve_A_7;Pve;0,1;2,52969600003484e-02;volume
Pve_A_8;Pve;1,0;5,44364008733936e-02;volume
Pve_A_9;Pve;10,0;4,66885336751490e-02;volume
Pve_B_1;Pve;0,0;7,30714984707686e-02;volume
Pve_B_10;Pve;100,0;2,67415449656520e-02;volume
Pve_B_11;Pve;0,0;4,73316760051119e-02;volume
Pve_B_12;Pve;0,1;6,14565199424524e-02;volume
Pve_B_13;Pve;1,0;4,98250182838340e-02;volume
Pve_B_14;Pve;10,0;3,56250919738514e-02;volume
Pve_B_15;Pve;100,0;1,40167546985062e-02;volume
Pve_B_2;Pve;0,1;4,25216602448092e-02;volume
Pve_B_3;Pve;1,0;4,25107236765886e-02;volume
Pve_B_4;Pve;10,0;6,43724932203947e-02;volume
Pve_B_5;Pve;100,0;3,88352505428771e-02;volume
Pve_B_6;Pve;0,0;5,69104578809417e-02;volume
Pve_B_7;Pve;0,1;6,03564776099920e-02;volume
Pve_B_8;Pve;1,0;7,17223266057465e-02;volume
Pve_B_9;Pve;10,0;9,70458941812369e-02;volume
Pve_C_1;Pve;0,0;5,77834871481217e-02;volume
Pve_C_10;Pve;100,0;3,12374618093397e-02;volume
Pve_C_11;Pve;0,0;4,52673291652580e-02;volume
Pve_C_12;Pve;0,1;6,78013579437871e-02;volume
Pve_C_13;Pve;1,0;7,96597804734753e-02;volume
Pve_C_14;Pve;10,0;6,33205952259103e-02;volume
Pve_C_15;Pve;100,0;5,85448546016852e-02;volume
Pve_C_2;Pve;0,1;1,07516238144809e-01;volume
Pve_C_3;Pve;1,0;7,35153285765532e-02;volume
Pve_C_4;Pve;10,0;1,11993267533755e-01;volume
Pve_C_5;Pve;100,0;3,85808231141791e-02;volume
Pve_C_6;Pve;0,0;7,66140835212150e-02;volume
Pve_C_7;Pve;0,1;7,77340550102811e-02;volume
Pve_C_8;Pve;1,0;9,58480270224664e-02;volume
Pve_C_9;Pve;10,0;1,14603110363705e-01;volume
Pve_D_1;Pve;0,0;7,29030709838765e-02;volume
Pve_D_10;Pve;100,0;5,53650672873476e-02;volume
Pve_D_11;Pve;0,0;1,01060819999314e-02;volume
Pve_D_12;Pve;0,1;4,43552884050248e-02;volume
Pve_D_13;Pve;1,0;1,36773949656187e-02;volume
Pve_D_14;Pve;10,0;5,75869731798983e-02;volume
Pve_D_15;Pve;100,0;-8,95912498229111e-04;volume
Pve_D_2;Pve;0,1;4,96262982229057e-02;volume
Pve_D_3;Pve;1,0;7,75348795550652e-02;volume
Pve_D_4;Pve;10,0;5,29303131546640e-02;volume
Pve_D_5;Pve;100,0;2,88942927776772e-02;volume
Pve_D_6;Pve;0,0;8,71033022913346e-02;volume
Pve_D_7;Pve;0,1;9,01681548291697e-02;volume
Pve_D_8;Pve;1,0;1,09888640193711e-01;volume
Pve_D_9;Pve;10,0;9,70656706433943e-02;volume
Pve_E_1;Pve;0,0;3,44022147795036e-02;volume
Pve_E_10;Pve;100,0;6,02035473215377e-02;volume
Pve_E_11;Pve;0,0;-6,09124827794381e-03;volume
Pve_E_12;Pve;0,1;3,72235586348937e-02;volume
Pve_E_13;Pve;1,0;6,58125703216170e-02;volume
Pve_E_14;Pve;10,0;5,13187266073304e-02;volume
Pve_E_15;Pve;100,0;9,52995685031133e-03;volume
Pve_E_2;Pve;0,1;3,51377868021174e-02;volume
Pve_E_3;Pve;1,0;1,21074893212101e-02;volume
Pve_E_4;Pve;10,0;2,96623076551976e-02;volume
Pve_E_5;Pve;100,0;3,98055765349542e-02;volume
Pve_E_6;Pve;0,0;9,50706960998085e-02;volume
Pve_E_7;Pve;0,1;4,57276071361358e-02;volume
Pve_E_8;Pve;1,0;7,10709989094143e-02;volume
Pve_E_9;Pve;10,0;4,44178289840769e-02;volume
Pve_F_1;Pve;0,0;8,86589024753110e-02;volume
Pve_F_10;Pve;100,0;1,19011630909488e-02;volume
Pve_F_11;Pve;0,0;3,96572206498247e-02;volume
Pve_F_12;Pve;0,1;2,89145587777771e-02;volume
Pve_F_13;Pve;1,0;3,69210626530095e-02;volume
Pve_F_14;Pve;10,0;1,25386310932624e-02;volume
Pve_F_15;Pve;100,0;-1,29348243092926e-04;volume
Pve_F_2;Pve;0,1;5,68390493003833e-02;volume
Pve_F_3;Pve;1,0;3,53982828264111e-02;volume
Pve_F_4;Pve;10,0;5,80550218505559e-02;volume
Pve_F_5;Pve;100,0;2,22406727999012e-02;volume
Pve_F_6;Pve;0,0;4,13810502437480e-02;volume
Pve_F_7;Pve;0,1;5,19246558079034e-02;volume
Pve_F_8;Pve;1,0;2,76496198830384e-02;volume
Pve_F_9;Pve;10,0;3,71842019156113e-02;volume
Spi_A_1;Spi;0,0;6,06044090366753e-02;volume
Spi_A_10;Spi;100,0;4,66892358120380e-02;volume
Spi_A_11;Spi;0,0;5,70171424754592e-02;volume
Spi_A_12;Spi;0,1;4,76133943723304e-02;volume
Spi_A_13;Spi;1,0;7,06474650174056e-02;volume
Spi_A_14;Spi;10,0;8,42492862174405e-02;volume
Spi_A_15;Spi;100,0;1,99948267470903e-02;volume
Spi_A_2;Spi;0,1;5,37908061087681e-02;volume
Spi_A_3;Spi;1,0;4,29001146188366e-02;volume
Spi_A_4;Spi;10,0;5,86546062253801e-02;volume
